% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,seg_missing_bool,OH__Low Vulnerability,OH__Moderate Vulnerability,OH__Very High Vulnerability,OH__Very Low Vulnerability,OH__Moderate Concern,OH__Very High Concern,OH__medium,OH__small,year
-0.6423013106570313,-0.20449110951266625,-0.22801204691444388,0.49445889632203416,0.006061854945829204,-0.0785027127708273,-0.15421200989370332,-0.5395907412722389,-0.08985389313584127,1.0577387446136157,-0.42269965309355806,-0.2894019868966818,-0.6635597461552187,-0.11275376493398298,-0.14103294241547018,-3.5579124883966253,0.3674969320621554,-0.04300876412865455,-1.1869126963941603,-0.18050280589007986,0.3796117971092579,0.551228145537708,0.37460846018041744,0.5667048972627746,0.49019714376301643,1.8001597443136756,1.850892362349487,1.7742577972630695,0.487797666291684,0.6012548294851522,-0.0798263153705967,0.2336615097730588,0,0,0,0,0,0,1,0,0,2020
-0.6229793106726442,-0.19713859606143266,-0.09869412350762247,0.5925867273715588,0.660426832479651,-0.0785027127708273,-0.1370253620832901,0.12206355170120071,-0.12840140680273196,-0.16037963715204026,-0.021259605863399814,-0.01433617630320134,-0.2959345718190379,0.24744062992658028,-0.14166130326256257,0.3420257513176083,-0.06241326998481709,-0.04300876412865455,-1.1869126963941603,-0.18541007906632218,0.3415320108363954,0.31334579852671957,-0.06610929419382736,0.22388917655164164,0.34008600868403505,1.8001597443136756,1.850892362349487,1.7742577972630695,0.487797666291684,0.6012548294851522,-0.20861876594241818,0.2336615097730588,0,0,0,0,0,0,1,0,0,2022
-0.6036573106882571,-0.19346233933581589,-0.03590144112886534,0.6907145584210834,0.25472054640868125,-0.0785027127708273,-0.16197615342209176,-0.6326781551849203,-0.1345835552210069,-0.357912347708633,0.37742308344039704,0.23780700054108908,-0.02369727367517766,0.2727497126782977,-0.1401726864938556,-3.807213524379986,0.3674969320621554,-0.04300876412865455,-1.1869126963941603,-0.18541007906632218,0.21082298981771297,0.06082382493317147,-0.16752588739972962,0.13508703793180848,0.059367947096486455,1.8001597443136756,1.850892362349487,1.7742577972630695,0.487797666291684,0.6012548294851522,-0.29021171048081645,0.2336615097730588,0,0,0,0,0,0,1,0,0,2023
-1.4340422026690207,-0.24492993349445089,0.3741389030314389,-1.3699698936189335,-1.1194459064123443,-0.0785027127708273,-0.19868623010486036,0.022574427549351732,-0.2542263099040922,-2.1686288611440676,-1.0370865661179798,-0.0041362550401449335,2.2547552070222396,-1.5310848681313234,-0.24059572123908846,-0.08253314750304475,-1.2340040231613285,1.2451055093991268,1.9502108876119721,-0.2288205725484657,0.43482316976882696,0.42101571378045544,0.6421879395985031,0.6843322437819256,0.852867647069076,-0.27371388764075727,-0.32861693445013107,-0.12534126304491375,-0.8770993739794638,-0.002656331363457912,-0.21227764237911767,0.2336615097730588,0,0,1,0,0,0,1,1,0,2020
-1.4340422026690207,-0.24492993349445089,0.3317233282274083,-1.3699698936189335,-1.289580800571138,-0.0785027127708273,-0.19951541048167853,-0.10198260069070197,-0.24840781727512756,-1.608952847900388,0.3968904708409471,-0.16878916598496538,1.5039313275429687,-1.4443214537942974,-0.2391569743788809,-0.08034780502167478,-1.2340040231613285,1.2451055093991268,1.9502108876119721,-0.23146295041259618,0.2243228441247824,0.26573174931610455,0.2931085265659824,0.30473018994928425,0.3023487494037884,-0.27371388764075727,-0.32861693445013107,-0.12534126304491375,-0.8770993739794638,-0.002656331363457912,-0.14312487772549762,0.2336615097730588,1,0,1,0,0,0,1,1,0,2021
-1.4340422026690207,-0.25228244694568447,-0.12412691073153044,-1.8606090488665568,-1.381191897425873,-0.0785027127708273,-0.18526858400725704,0.5795562577129031,-0.24913512885374814,-1.7077192031786843,1.830867507799874,-0.06282123726777863,1.6298672833949963,-0.9342275135829626,-0.23872310617493614,0.3420257513176083,-0.06241326998481709,1.5595807968387965,2.055588522568052,-0.22334707554419542,1.0583762174000946,0.8727171248108497,0.8252111386338754,1.0043449001032871,0.9250076146975795,-0.27371388764075727,-0.32861693445013107,-0.12534126304491375,-0.8770993739794638,-0.002656331363457912,-0.18959260847158094,0.2336615097730588,0,0,1,0,0,0,1,1,0,2022
0.6071407723141115,-0.0905271510185459,0.6640631306259303,1.0832258826191818,0.006061854945829204,0.4427725362410949,-0.05734866587448843,-0.5899798519839135,0.0032419889275928835,0.9589723893353189,-0.22502433923673104,0.4995459213511072,-0.23072041156510437,0.523778352208608,-0.06957435052668627,0.7172430806799077,-0.39209108671780063,0.820434633930941,0.48792536876508386,-0.07273153728875831,0.5462487094479324,0.7851311942855936,0.570608430091905,0.5953747616295222,0.5688253259643462,0.47717139289446847,0.7611377139496789,0.4361754403165652,1.2982052839526776,0.0836166916149151,-0.35314438519204744,0.2336615097730588,0,0,0,1,0,0,1,0,0,2021
0.6071407723141115,-0.07949838084169554,0.8025727920273686,1.279481544718231,0.3332443437127401,0.7611892483831065,-0.03217173443291818,-0.14648859735237463,-0.006758545278440082,0.7614396787787268,0.04512471657828876,0.8314930967368538,-0.3660154604501306,0.9192992663920757,-0.06937237739726372,0.3420257513176083,-0.06241326998481709,1.156084679725839,0.47477834650313944,-0.07877125812105654,-0.15869003923185443,0.16287405766552945,0.1938617939003694,-0.13852307497893093,0.14564830396915762,0.47717139289446847,0.7611377139496789,0.4361754403165652,1.2982052839526776,0.0836166916149151,-0.4124181834665789,0.2336615097730588,0,0,0,1,0,0,1,0,0,2022
0.6071407723141115,-0.06846961066484519,0.9293011573104225,1.1813537136687065,0.5033792378715334,0.7611892483831065,-0.03367933511804215,-0.10441312341816485,-0.005303922121198923,0.7943617972048249,-0.034386653836979274,1.0968655500646325,-0.31532661258341077,0.9831796368892206,-0.07009549107050496,0.6469783848616515,-0.39209108671780063,1.156084679725839,0.47477834650313944,-0.07877125812105654,-0.13951892406119049,-0.11711593314434844,0.029742509462621466,-0.024709638657789156,-0.11971360121594313,0.47717139289446847,0.7611377139496789,0.4361754403165652,1.2982052839526776,0.0836166916149151,-0.4486410601899037,0.2336615097730588,0,0,0,1,0,0,1,0,0,2023
-0.048061362355669116,-0.24492993349445089,-0.10903520167180318,1.0832258826191818,1.2493553122600904,-0.0785027127708273,-0.20825949445539754,0.4366185680708146,-0.19822331835030757,1.123582981465813,1.3019944536122625,-0.24706232946358453,-0.13076529797268044,0.4653181553002816,-0.2271757288619011,0.49649737951425504,-0.8932366837633051,0.7639887600487218,-1.5280510422407114,-0.24090001421306215,0.007811074176879792,0.4163664070950685,-0.07502008108464983,0.21608673606654205,0.29276577787612906,-0.12174900943719912,-0.10425568330899372,-0.3284430493671502,0.5304506988001574,-0.26147540029857697,-0.10360901220914329,0.2336615097730588,0,0,0,1,0,0,1,1,0,2021
