County_Name,Source_Name,Component_Source_Name,Type_Desc,HPSA_Score
Grimes,CF-Pack Facility,CF-Pack Facility,Correctional Facility,6
Bexar,CF-Fabian Dale Dominguez State Jail,CF-Fabian Dale Dominguez State Jail,Correctional Facility,6
Wood,Clyde M. Johnston Unit,Clyde M. Johnston Unit,Correctional Facility,6
Bowie,Barry B. Telford Unit,Barry B. Telford Unit,Correctional Facility,6
Jones,French Robertson Unit,French Robertson Unit,Correctional Facility,6
Jefferson,CF-Larry Gist State Jail,CF-Larry Gist State Jail,Correctional Facility,6
Brazos,Western Brazos,2.01,High Needs Geographic HPSA,6
Brazos,Western Brazos,2.02,High Needs Geographic HPSA,6
Brazos,Western Brazos,10,High Needs Geographic HPSA,6
Brazos,Western Brazos,4,High Needs Geographic HPSA,6
Brazos,Western Brazos,5,High Needs Geographic HPSA,6
Brazos,Western Brazos,9,High Needs Geographic HPSA,6
Loving,Loving County,Loving,Geographic HPSA,6
Coryell,Coryell County,Coryell,Geographic HPSA,6
Wilson,Wilson County,Wilson,Geographic HPSA,6
Baylor,SEYMOUR HOSPITAL RHC,SEYMOUR HOSPITAL RHC,Rural Health Clinic,5
Bosque,Bosque County,Bosque,High Needs Geographic HPSA,5
Midland,Midland County,Midland,High Needs Geographic HPSA,5
King,King County,King,High Needs Geographic HPSA,4
Anderson,CF-George Beto Unit,CF-George Beto Unit,Correctional Facility,3
DeWitt,CF- Clarence N Stevenson Facility,CF- Clarence N Stevenson Facility,Correctional Facility,3
Brazoria,CF-C.T. Terrell Unit,CF-C.T. Terrell Unit,Correctional Facility,3
Brooks,Spohn Brooks Family Health Center,Spohn Brooks Family Health Center,Rural Health Clinic,0
Collin,Robert Grey Maul Clinic,Robert Grey Maul Clinic,Rural Health Clinic,0
El Paso,"Planned Parenthood Center of El Paso, Inc.","Planned Parenthood Center of El Paso, Inc.",Federally Qualified Health Center,0
Brazoria,Alvin Community Health Endeavor,Alvin Community Health Endeavor,Federally Qualified Health Center,0
Harris,Fourth Ward Clinic,Fourth Ward Clinic,Federally Qualified Health Center,0
Travis,City of Austin Community Care Services,City of Austin Community Care Services,Federally Qualified Health Center,0
Harris,Northeast Community Health Clinic,Northeast Community Health Clinic,Federally Qualified Health Center,0
Bee,The Shepherds Community Health Center,The Shepherds Community Health Center,Federally Qualified Health Center,0
Dallas,Parkland Ambulatory Care Center,Parkland Ambulatory Care Center,Federally Qualified Health Center,0
Starr,Community Action Council of South Texas,Community Action Council of South Texas,Federally Qualified Health Center,0
Lubbock,Larry Combest Community Health and Wellness,Larry Combest Community Health and Wellness,Federally Qualified Health Center Look A Like,0
Harrison,East Texas Border Health Clinic,East Texas Border Health Clinic,Federally Qualified Health Center Look A Like,0
Gregg,Longview Wellness Center,Longview Wellness Center,Federally Qualified Health Center Look A Like,0
Harris,"Houston Community Health Center, Inc.","Houston Community Health Center, Inc.",Federally Qualified Health Center Look A Like,0
Harris,Pasadena Health Center,Pasadena Health Center,Federally Qualified Health Center Look A Like,0
Brazoria,Alvin Community Health Endeavor,Alvin Community Health Endeavor,Federally Qualified Health Center Look A Like,0
Midland,Midland Community Healthcare Services,Midland Community Healthcare Services,Federally Qualified Health Center Look A Like,0
Hopkins,Good Neighbor Healthcare Center,Good Neighbor Healthcare Center,Federally Qualified Health Center Look A Like,0
