county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,pop_tertiles,rural_pop_quartiles,%_pop_youth_imputed,%_pop_youth_imputed_yes_no,imr_imputed,imr_imputed_yes_no,live_births_imputed,live_births_imputed_yes_no,pop_0_24mos,mmr_coverage_0_24_months,mmr_doses_<18yrs,mmr_coverage_<18yrs,#_pop_youth_imputed,mmr_dose_rate_0_24_months,mmr_dose_rate_<18yrs
Bastrop,7.5768107883,23.0,27.13512,41.0,19.2,5.1450621695,2863,12.629025143,10040,12.5,31.748427654,34.492270000000005,2899:1,61883,69.318550217,86976,49.071008094,63.85244907,2020,,,0.0,950.0,1000.0,27.5,1143.0,0.124,0.188,0.0827,0.75,High Vulnerability,0.85,Very High Concern,2899.0,1.0,large,rural,23.690508852090353,1.0,5.1450621695,0.0,1143.0,0.0,1137.1191939402615,0.8354445207350076,1977.5,0.0009597158610125537,2060505.6979194107,83.54445207350076,0.09597158610125536
Baylor,8.6956521739,5.0,139.6258,18.0,28.6,,105,12.758201701,590,16.2,,55.83473000000001,1791:1,41180,56.994818653,3582,51.312116136,100.0,2020,,,0.0,32.0,41.5,0.0,45.0,0.1293,0.1898,0.087,0.16,Very Low Vulnerability,0.78,High Concern,1791.0,1.0,small,very rural,23.690508852090353,1.0,6.019602497975,1.0,45.0,0.0,44.72911788759112,0.7154176409295461,73.5,0.000866138549816924,84859.40270818764,71.54176409295461,0.0866138549816924
Bee,10.115384615,7.0,21.49679,29.0,32.0,7.6716532413,661,9.3059270731,4540,13.9,21.546270543,55.23675,1810:1,41806,70.382165605,32587,39.181268604,42.97730768,2020,,,0.0,238.0,278.0,17.5,347.0,0.1183,0.18,0.0772,0.97,Very High Vulnerability,0.99,Very High Concern,1810.0,1.0,medium,urban,23.690508852090353,1.0,7.6716532413,0.0,347.0,0.0,344.3379363252689,0.6911814670782604,533.5,0.0006910598380534003,772002.6119630684,69.11814670782604,0.06910598380534003
Bell,8.7590060964,284.0,81.64837999999999,39.0,19.1,6.8502693665,6377,6.3900356728,62960,18.7,41.201303726,168.4278,594:1,54292,55.844724212,355642,50.3123928,15.186229794,2020,,,0.0,2925.0,2860.0,49.0,6102.0,0.1244,0.1993,0.0815,0.81,Very High Vulnerability,0.83,Very High Concern,594.0,1.0,large,very urban,23.690508852090353,1.0,6.8502693665,0.0,6102.0,0.0,6060.199656325617,0.4826573654131831,5834.0,0.0006924349682259619,8425339.949175118,48.26573654131831,0.06924349682259619
Bexar,8.9450781336,1450.0,74.0333,38.0,23.7,6.3072376596,41735,7.9588622078,216220,11.4,44.536756467,97.63103,1024:1,54210,61.712693731,1986049,50.629818298,4.5390847652,2020,,,0.0,16266.0,16997.0,586.0,25247.0,0.1005,0.1587,0.0641,0.83,Very High Vulnerability,0.87,Very High Concern,1024.0,1.0,large,very urban,23.690508852090353,1.0,6.3072376596,0.0,25247.0,0.0,25087.76117080808,0.6483639528156457,33849.0,0.0007194183226045763,47050511.41518519,64.83639528156458,0.07194183226045762
Blanco,6.3694267516,5.0,43.00705,44.0,17.2,,422,18.158347676,1450,13.1,,25.63664,3901:1,64832,39.408284024,11702,49.820543497,100.0,2020,,,0.0,57.5,56.0,5.0,82.0,0.1008,0.1475,0.0669,0.28,Low Vulnerability,0.68,High Concern,3901.0,1.0,medium,very rural,23.690508852090353,1.0,6.019602497975,1.0,82.0,0.0,81.50639259516605,0.7054661379211892,118.5,0.00042744856896970954,277226.3345871613,70.54661379211892,0.042744856896970954
Borden,,0.0,0.0,18.0,14.5,,23,14.743589744,80,12.9,,0.0,648:0,66101,24.892703863,648,47.99382716,100.0,2020,,,0.0,12.5,12.5,2.5,,0.1235,0.1873,0.0822,0.06,Very Low Vulnerability,0.72,High Concern,648.0,0.0,small,very rural,23.690508852090353,1.0,6.019602497975,1.0,1533.4742547425474,1.0,1524.2433492881187,0.008200790251660268,27.5,0.0017913617588333774,15351.44973615455,0.8200790251660268,0.17913617588333774
Bosque,7.037896365,10.0,54.56728,30.0,24.0,,570,13.90583069,2790,15.5,47.765226152,42.80135,2336:1,48460,62.348942598,18691,50.521641432,81.215681968,2020,,,0.0,122.0,133.0,2.5,181.0,0.1248,0.188,0.085,0.62,High Vulnerability,0.89,Very High Concern,2336.0,1.0,medium,rural,23.690508852090353,1.0,6.019602497975,1.0,181.0,0.0,179.91045194786653,0.6781151327180952,257.5,0.0005815275666537368,442799.3009544208,67.81151327180952,0.05815275666537368
Bowie,9.8661613171,63.0,67.01272,43.0,25.5,8.4053510122,1868,8.1426267382,20180,21.5,45.089203319,148.42458,674:1,47339,60.490387295,94324,49.670285399,35.424836601,2020,,,0.0,582.0,666.0,15.0,1088.0,0.1356,0.2056,0.0926,0.85,Very High Vulnerability,0.86,Very High Concern,674.0,1.0,large,urban,23.690508852090353,1.0,8.4053510122,0.0,1088.0,0.0,1078.8549780987264,0.5394608282066442,1263.0,0.0005652059848304097,2234583.5569645707,53.94608282066442,0.05652059848304097
Brazoria,8.3679990354,234.0,64.55938,41.0,13.1,4.5152091255,9325,9.1593980827,48610,14.0,39.686637624,60.23771,1660:1,74225,44.17376277,370200,49.486493787,22.52862699,2020,,,0.0,3787.0,3424.0,77.0,4495.0,0.1074,0.1608,0.071,0.51,Moderate Vulnerability,0.69,High Concern,1660.0,1.0,large,very urban,23.690508852090353,1.0,4.5152091255,0.0,4495.0,0.0,4474.704134980878,0.8463129372946092,7288.0,0.0008309933731102323,8770226.377043849,84.63129372946092,0.08309933731102323
Brazos,7.6380852183,190.0,85.2668,53.0,20.2,4.5098750713,5110,10.659824353,43590,20.3,33.582402407,59.53483,1680:1,50113,56.573967418,226758,49.450074529,12.063576784,2020,,,0.0,1783.0,2041.0,39.0,2636.0,0.1055,0.1682,0.0691,0.65,High Vulnerability,0.81,Very High Concern,1680.0,1.0,large,very urban,23.690508852090353,1.0,4.5098750713,0.0,2636.0,0.0,2624.111969312053,0.6794679574848469,3863.0,0.0007190973713095694,5372012.406282305,67.94679574848469,0.07190973713095694
Brewster,6.338028169,6.0,64.26047,21.0,21.2,,224,11.826821542,1130,12.3,,75.53685,1324:1,45670,51.791277259,9267,49.455055574,34.867850953,2020,,,0.0,33.5,39.5,5.0,75.0,0.1166,0.1765,0.0789,0.66,High Vulnerability,0.84,Very High Concern,1324.0,1.0,small,urban,23.690508852090353,1.0,6.019602497975,1.0,75.0,0.0,74.54852981265188,0.449371705708871,78.0,0.00035528841829158886,219539.9455323213,44.937170570887105,0.035528841829158886
Briscoe,,0.0,0.0,29.0,24.3,,79,25.079365079,210,13.4,,65.96306,1516:1,44409,54.411764706,1516,50.593667546,100.0,2020,,,0.0,20.0,18.5,2.5,12.0,0.1241,0.1883,0.0824,0.46,Moderate Vulnerability,0.95,Very High Concern,1516.0,1.0,small,very rural,23.690508852090353,1.0,6.019602497975,1.0,12.0,0.0,11.9277647700243,1.6767600959286233,41.0,0.0011415902904457946,35914.81141976897,167.67600959286233,0.11415902904457946
Brooks,8.4158415842,,,39.0,48.6,,130,6.2560153994,1070,14.7,,28.11358,3557:1,30116,79.924480806,7114,49.465842002,31.759656652,2020,,,0.0,77.5,90.0,2.5,95.0,0.0992,0.1603,0.0642,1.0,Very High Vulnerability,0.99,Very High Concern,3557.0,1.0,small,urban,23.690508852090353,1.0,6.019602497975,1.0,95.0,0.0,94.42813776269237,0.8207299416913788,170.0,0.0010086968658628815,168534.27997377078,82.07299416913789,0.10086968658628816
Brown,9.1098748261,19.0,49.93036,41.0,21.2,8.7138375741,917,10.482395976,5980,15.8,47.635153175,81.74243,1223:1,47097,62.892263196,37924,50.522096825,40.40046187,2020,,,0.0,310.0,357.0,15.0,384.0,0.1278,0.1901,0.086,0.63,High Vulnerability,0.72,High Concern,1223.0,1.0,large,urban,23.690508852090353,1.0,8.7138375741,0.0,384.0,0.0,380.6538863715456,0.8143881124004017,682.0,0.0007590945050404996,898438.8577066746,81.43881124004017,0.07590945050404996
Burleson,8.2162921348,7.0,38.86514,41.0,23.7,,500,11.930326891,2840,16.1,17.476375419,43.50427,2299:1,53626,61.390374332,18389,50.812986024,76.65677547,2020,,,0.0,180.0,161.5,5.0,205.0,0.1225,0.1864,0.0827,0.61,High Vulnerability,0.83,Very High Concern,2299.0,1.0,medium,rural,23.690508852090353,1.0,6.019602497975,1.0,205.0,0.0,203.76598148791513,0.8833662944404455,346.5,0.000795372803769795,435644.7672810895,88.33662944404455,0.0795372803769795
Burnet,6.6547831254,22.0,47.00453,45.0,18.6,,1477,13.95107207,6100,13.5,56.658653402,58.89529,1698:1,56696,60.123772366,47542,50.999116571,55.67251462,2020,,,0.0,290.0,347.0,5.0,499.0,0.1264,0.1929,0.0847,0.53,Moderate Vulnerability,0.7,High Concern,1698.0,1.0,large,rural,23.690508852090353,1.0,6.019602497975,1.0,499.0,0.0,495.99621835351047,0.5846818771374358,642.0,0.0005700109403458196,1126294.1718460796,58.46818771374358,0.05700109403458196
Caldwell,8.6456908345,12.0,28.34333,45.0,20.7,,1156,11.133583743,5070,12.5,45.185992619,50.87058,1966:1,52588,73.376539209,43247,49.541008625,42.292334367,2020,,,0.0,412.0,438.0,20.0,629.0,0.124,0.188,0.0827,0.87,Very High Vulnerability,0.97,Very High Concern,1966.0,1.0,large,urban,23.690508852090353,1.0,6.019602497975,1.0,629.0,0.0,625.2136700287738,0.6589747149659073,870.0,0.0008491587268564335,1024543.4363263515,65.89747149659073,0.08491587268564335
