county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,seg_missing_bool,OH__Low Vulnerability,OH__Moderate Vulnerability,OH__Very High Vulnerability,OH__Very Low Vulnerability,OH__Moderate Concern,OH__Very High Concern,OH__medium,OH__small
Kleberg,7.773512476,14.0,45.03345,37.0,33.3,,714,9.1129546905,4100,13.0,35.094348084,44.97414,42605,67.918708038,31129,48.796941758,18.870278532,2020,,,376.0,0.988826815642458,0.9804469273743016,0.9916201117318436,0.988826815642458,0.988826815642458,0.0992,0.1603,0.0642,0.98,0.99,2224.0,1.0,0,0,0,1,0,0,1,1,0
Knox,8.2595870206,1.0,26.95418,13.0,31.5,,186,18.1640625,500,13.2,46.549184776,164.24856,39726,64.52991453,3653,50.479058308,100.0,2020,,,43.0,1.0,1.0,1.0,1.0,1.0,0.1278,0.1901,0.086,0.8,0.93,609.0,1.0,0,0,0,0,0,0,1,0,1
Lamar,8.8082901554,25.0,50.41644,48.0,22.2,6.5416484954,1451,11.858450474,9970,20.2,40.132093431,98.53604,45767,62.569508804,49728,51.797779923,47.082923302,2020,,,632.0,0.9690265486725664,0.976401179941003,0.9823008849557522,0.976401179941003,0.971976401179941,0.1283,0.1937,0.0866,0.84,0.94,1015.0,1.0,0,0,0,1,0,0,1,0,0
Lamb,8.6722947045,3.0,22.71007,36.0,27.8,,557,14.677206851,1730,13.0,28.880957249,68.39945,42700,70.252951096,13158,50.425596595,57.687629677,2020,,,181.0,0.9942196531791908,0.9884393063583816,0.9942196531791908,0.9942196531791908,0.9884393063583816,0.1143,0.1758,0.0766,0.9,0.99,1462.0,1.0,0,0,0,1,0,0,1,1,0
Randall,7.7036013473,80.0,59.505210000000005,49.0,11.4,5.7708871662,2627,7.7235174786,17490,13.4,56.75468584,49.90057,69600,39.792006346,136271,50.815654101,14.375647132,2020,,,1602.0,0.957908163265306,0.9591836734693876,0.9642857142857144,0.9591836734693876,0.9604591836734694,0.1021,0.1521,0.0667,0.22,0.6,2004.0,1.0,0,1,0,0,0,0,0,0,0
Lampasas,5.8561425843,9.0,42.80211,26.0,20.2,,643,12.793473936,2960,14.5,50.561469143,32.97376,55151,50.709606987,21229,50.723067502,68.267520455,2020,,,203.0,0.9450980392156862,0.9490196078431372,0.9647058823529412,0.9490196078431372,0.9490196078431372,0.1264,0.1929,0.0847,0.54,0.88,3033.0,1.0,0,0,1,0,0,0,1,1,0
Leon,7.1967100754,,,43.0,24.4,,688,16.966707768,3050,18.0,23.450372137,28.95194,47065,51.46875,17270,50.277938622,100.0,2020,,,199.0,0.9809523809523808,0.9809523809523808,0.9857142857142858,0.9857142857142858,0.9809523809523808,0.1225,0.1864,0.0827,0.62,0.92,3454.0,1.0,0,0,0,0,0,0,1,1,0
Liberty,8.748403576,20.0,23.90686,35.0,23.2,7.02172761,2977,13.224645729,14210,17.8,30.846808228,39.38695,52577,66.212406015,86323,50.425726631,63.227264915,2020,,,1259.0,0.9725738396624471,0.9704641350210972,0.9824191279887482,0.9760900140646976,0.969760900140647,0.1377,0.2028,0.0929,0.94,0.97,2539.0,1.0,0,0,0,1,0,0,1,0,0
Limestone,10.062590274,8.0,34.00349,43.0,33.0,,616,11.298606016,4500,19.2,26.097624129,63.77822,43226,74.536340852,23519,48.369403461,53.617858365,2020,,,273.0,0.975438596491228,0.9719298245614036,0.9824561403508772,0.9789473684210528,0.9789473684210528,0.1248,0.188,0.085,0.95,0.98,1568.0,1.0,0,0,0,1,0,0,1,1,0
Lipscomb,6.309148265,,,29.0,17.5,,256,27.497314715,420,12.0,,29.80626,57332,62.532299742,3355,48.315946349,100.0,2020,,,27.0,0.921875,0.90625,0.9375,0.890625,0.796875,0.1241,0.1883,0.0824,0.46,0.87,3355.0,1.0,1,0,1,0,0,0,1,0,1
Llano,8.1244598099,17.0,80.15087,39.0,23.4,,457,13.42143906,3150,15.6,,27.71875,54019,58.899176955,21646,51.575348794,45.179006269,2020,,,174.0,0.9473684210526316,0.9473684210526316,0.962406015037594,0.9548872180451128,0.9548872180451128,0.1264,0.1929,0.0847,0.47,0.76,3608.0,1.0,1,0,1,0,0,0,0,1,0
Lubbock,8.8743528753,251.0,82.23442,45.0,20.3,5.0405662006,7177,9.4384534456,47350,15.9,43.908668797,144.43158,50377,54.949407797,307412,50.729314405,11.335540166,2020,,,3980.0,0.9411619891678976,0.948547513540128,0.964303298867553,0.946085672082718,0.9428852781880848,0.109,0.1714,0.0711,0.75,0.74,692.0,1.0,0,0,0,0,0,0,0,0,0
Lynn,8.8122605364,3.0,51.20328,31.0,26.8,,195,12.081784387,720,12.5,,68.06193999999999,43436,57.998683344,5877,49.004594181,56.720202874,2020,,,68.0,0.967741935483871,0.9758064516129032,0.9758064516129032,0.967741935483871,0.9596774193548387,0.1143,0.1758,0.0766,0.89,0.99,1469.0,1.0,1,0,0,1,0,0,1,0,1
Madison,7.3646850044,3.0,21.09408,42.0,23.4,,397,12.785829308,2440,17.4,46.613383608,27.7354,45445,69.34710439,14422,42.566911663,67.403395785,2020,,,176.0,1.0,0.9891304347826086,1.0,1.0,0.9836956521739132,0.1225,0.1864,0.0827,0.84,0.96,3606.0,1.0,0,0,0,1,0,0,1,1,0
Martin,8.2335329341,2.0,35.54924,35.0,19.6,,324,17.792421746,460,8.2,,34.76447,56484,51.265822785,5753,49.40031288,100.0,2020,,,86.0,0.9401709401709402,0.9145299145299144,0.9572649572649572,0.9487179487179488,0.9230769230769232,0.1235,0.1873,0.0822,0.42,0.89,2877.0,1.0,1,0,1,0,0,0,1,0,1
Mason,6.8965517241,,,42.0,23.4,,234,25.490196078,570,13.8,,46.72897,49560,46.153846154,4280,49.929906542,100.0,2020,,,33.0,0.9682539682539684,0.9365079365079364,0.9682539682539684,0.9682539682539684,0.9682539682539684,0.1235,0.1873,0.0822,0.36,0.81,2140.0,1.0,1,1,0,0,0,0,1,0,1
Lavaca,7.3981191223,14.0,69.78367,35.0,22.2,,611,12.26661313,2920,14.7,26.126186752,54.69915,51128,42.534864643,20110,51.158627548,81.316513523,2020,,,227.0,0.9797101449275364,0.9681159420289857,0.982608695652174,0.982608695652174,0.9710144927536232,0.1134,0.1709,0.0762,0.69,0.91,1828.0,1.0,0,0,0,0,0,0,1,1,0
Karnes,8.1214109926,4.0,26.338320000000003,43.0,25.3,,397,12.204119275,1790,11.9,52.322555233,19.16933,48743,70.358934774,15650,41.156549521,38.390447922,2020,,,175.0,0.9748743718592964,0.9748743718592964,0.984924623115578,0.984924623115578,0.984924623115578,0.1134,0.1709,0.0762,0.84,0.97,5217.0,1.0,0,0,0,1,0,0,1,1,0
Reagan,7.7951002227,2.0,53.90836,19.0,13.5,,160,14.047410009,320,8.5,,53.46164,65273,63.562281723,3741,46.511627907,13.305613306,2020,,,56.0,0.9090909090909092,0.9242424242424242,1.0,0.8939393939393939,0.9242424242424242,0.1235,0.1873,0.0822,0.48,0.94,1871.0,1.0,1,0,1,0,0,0,1,0,1
Red River,9.8765432099,2.0,16.35457,49.0,28.6,,287,11.493792551,2480,20.1,49.590776375,24.64066,42233,66.209829868,12175,51.441478439,75.730948678,2020,,,110.0,0.9659863945578232,0.9727891156462584,0.9931972789115646,0.9863945578231292,0.979591836734694,0.1283,0.1937,0.0866,0.56,0.99,4058.0,1.0,0,0,1,0,0,0,1,1,0
Trinity,7.3422957601,2.0,13.63605,37.0,30.3,,336,11.129513084,2800,19.3,46.539367438,61.05834,40486,68.199398367,14740,51.797829037,77.236887213,2020,,,126.0,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.1365,0.206,0.093,0.8,0.97,1638.0,1.0,0,0,0,1,0,0,1,1,0
Upshur,7.4209245742,12.0,29.06906,43.0,21.1,9.9099099099,1064,10.385553929,7270,17.9,31.22438478,12.11827,48554,59.480025365,41260,50.588948134,79.299905874,2020,,,489.0,0.9623762376237625,0.9663366336633664,0.9722772277227724,0.9683168316831684,0.9623762376237625,0.1276,0.1901,0.0861,0.59,0.88,8252.0,1.0,0,0,1,0,0,0,1,0,0
Upton,9.4488188976,2.0,54.60005,20.0,20.2,,193,17.232142857,430,12.1,30.057789124,108.96214,53867,57.341040462,3671,48.760555707,100.0,2020,,,40.0,1.0,0.972972972972973,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.65,0.96,918.0,1.0,0,0,0,0,0,0,1,0,1
Uvalde,7.1071428571,12.0,44.22822,32.0,35.0,,882,11.54752553,2430,9.0,,59.5992,39725,65.834238147,26846,50.797139239,31.384207536,2020,,,386.0,0.96875,0.9791666666666666,0.984375,0.9713541666666666,0.9713541666666666,0.107,0.1724,0.0705,0.95,0.98,1678.0,1.0,1,0,0,1,0,0,1,1,0
Val Verde,6.4690026954,14.0,28.45239,25.0,28.9,3.2976092333,1588,10.958525982,4580,9.3,59.153051434,65.03008,44276,72.558181328,49208,48.878231182,10.157736451,2020,,,732.0,0.9845722300140252,0.976157082748948,0.9915848527349228,0.9901823281907434,0.976157082748948,0.107,0.1724,0.0705,0.97,0.99,1538.0,1.0,0,0,0,1,0,0,1,0,0
Victoria,8.0605655756,72.0,78.18948,48.0,21.4,5.5011552426,2923,12.01446833,11820,12.9,32.859626713,94.52926,51646,67.742143641,92035,51.003422611,26.626571267,2020,,,1166.0,0.9789391575663028,0.9812792511700468,0.983619344773791,0.982839313572543,0.9804992199687989,0.1065,0.1663,0.0699,0.78,0.9,1058.0,1.0,0,0,0,0,0,0,1,0,0
Walker,7.9144871503,20.0,27.683580000000003,42.0,28.3,,1234,10.977671026,15950,22.5,18.26365771,49.668870000000005,43681,49.175824176,72480,41.799116998,45.582882657,2020,,,640.0,0.970948012232416,0.9617737003058104,0.9755351681957186,0.970948012232416,0.963302752293578,0.1365,0.206,0.093,0.7,0.9,2013.0,1.0,0,0,0,0,0,0,1,0,0
Waller,7.7939835916,6.0,11.69431,43.0,19.9,5.730002292,1762,13.705662726,8770,18.1,38.100103891,1.88232,59807,71.279861204,53126,50.152467718,61.641013772,2020,,,689.0,0.9779951100244498,0.9706601466992664,0.9853300733496332,0.9841075794621028,0.9682151589242054,0.1114,0.1704,0.0738,0.83,0.9,53126.0,1.0,0,0,0,1,0,0,1,0,0
Ward,9.9845201238,3.0,26.15063,19.0,17.7,,466,13.641686183,1160,10.1,20.527967891,76.79181,53621,51.606425703,11720,49.675767918,27.88515669,2020,,,183.0,0.9759615384615384,0.9759615384615384,0.9807692307692308,0.9807692307692308,0.9759615384615384,0.1166,0.1765,0.0789,0.65,0.96,1302.0,1.0,0,0,0,0,0,0,1,1,0
Webb,8.0857228767,89.0,32.3879,35.0,34.6,4.9619847939,10498,11.269994632,25250,9.4,69.444092382,50.37875,44919,82.325494588,275910,50.866949368,2.5996388392,2020,,,4344.0,0.9945474372955287,0.9899672846237731,0.9967284623773174,0.9949836423118866,0.9862595419847328,0.1039,0.1663,0.0674,0.95,0.99,1985.0,1.0,0,0,0,1,0,0,1,0,0
Wharton,9.4440213252,16.0,38.12429,36.0,26.0,8.0561330561,1539,13.646036531,6250,15.1,38.523797679,67.27696,48040,65.348309236,41619,50.743650736,49.895833333,2020,,,543.0,0.9820143884892086,0.9784172661870504,0.9892086330935252,0.9856115107913668,0.9838129496402878,0.1114,0.1704,0.0738,0.88,0.96,1486.0,1.0,0,0,0,1,0,0,1,0,0
Wheeler,6.8311195446,2.0,37.32736,36.0,20.9,,257,18.085855032,910,16.3,54.530271399,57.79233000000001,48018,50.900900901,5191,49.662878058,100.0,2020,,,45.0,0.9027777777777778,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.1241,0.1883,0.0824,0.7,0.91,1730.0,1.0,0,0,0,0,0,0,1,0,1
