% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,seg_missing_bool,OH__Low Vulnerability,OH__Moderate Vulnerability,OH__Very High Vulnerability,OH__Very Low Vulnerability,OH__Moderate Concern,OH__Very High Concern,OH__medium,OH__small
7.2161642078,79.0,41.19733,53.0,12.4,5.8931377685,7666,14.622794468,19920,11.1,34.379483717,72.52884,87698,46.881656512,202678,50.457869132,31.975135352,2023,,,,0.942153846153846,0.944,0.953846153846154,0.9467692307692308,0.9433846153846154,0.1147,0.169,0.0766,0.39,0.7,1379.0,1.0,0,1,0,0,0,0,0,0,0
6.652555186,25.0,57.838240000000006,49.0,20.4,6.160164271,1152,12.42584403,5840,13.8,79.41056646,57.6329,51964,51.908525307,43378,50.975148693,46.320929005,2023,,,,0.9471153846153846,0.9543269230769232,0.9543269230769232,0.9519230769230768,0.9495192307692308,0.1134,0.1689,0.0762,0.63,0.87,1735.0,1.0,0,0,0,0,0,0,1,0,0
9.3510118632,2.0,11.57742,36.0,27.5,,416,11.46953405,3160,18.3,46.251502548,46.20805,46173,79.282868526,17313,52.74071507,67.356990932,2023,,,,0.9152542372881356,0.9322033898305084,0.9661016949152542,0.9491525423728814,0.9209039548022598,0.1248,0.188,0.085,0.98,0.99,2164.0,1.0,0,0,0,1,0,0,1,1,0
8.4288052373,7.0,19.49155,43.0,17.9,,1002,12.757830405,4880,13.9,51.670927777,41.01835,56794,53.680365297,36569,46.443709153,70.529264337,2023,,,,0.928191489361702,0.925531914893617,0.928191489361702,0.925531914893617,0.925531914893617,0.1317,0.1945,0.0881,0.58,0.86,2438.0,1.0,0,0,1,0,0,0,1,0,0
7.6968973747,6.0,23.48612,51.0,15.5,,836,15.690690691,3130,12.4,32.409007585,72.91287,64711,52.008686211,24687,50.447604002,67.137737232,2023,,,,0.9705882352941176,0.9705882352941176,0.9742647058823528,0.9742647058823528,0.9705882352941176,0.124,0.188,0.0827,0.44,0.84,1372.0,1.0,0,0,1,0,0,0,1,1,0
11.743772242,2.0,52.85412,14.0,21.6,,135,16.148325359,520,13.7,,107.93308,51362,55.696202532,3706,49.541284404,100.0,2023,,,,0.9714285714285714,0.9714285714285714,1.0,0.9714285714285714,0.9714285714285714,0.1278,0.1901,0.086,0.43,0.91,927.0,1.0,1,0,1,0,0,0,1,0,1
9.3253968254,3.0,52.8914,32.0,30.5,,227,15.379403794,750,13.0,43.308589608,93.45794,43855,77.575757576,5350,49.700934579,53.319888303,2023,,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.1143,0.1758,0.0766,0.83,0.97,1070.0,1.0,0,0,0,1,0,0,1,0,1
7.3799521099,493.0,53.626360000000005,55.0,7.6,4.2977309677,20866,8.9343135702,96610,11.2,39.352739145,79.01050000000001,98027,32.259779109,941647,50.600809008,6.9058305439,2023,,,,0.9223848238482384,0.9218428184281844,0.9365853658536586,0.9249864498644986,0.9188075880758808,0.0949,0.1412,0.0617,0.22,0.63,1266.0,1.0,0,1,0,0,0,0,0,0,0
,0.0,0.0,34.0,31.8,,39,16.810344828,150,12.7,,92.59259,42616,75.247524752,1080,52.5,100.0,2023,,,,0.8,0.9333333333333332,0.9333333333333332,0.8,0.8,0.1293,0.1898,0.087,0.48,0.93,1080.0,1.0,1,0,1,0,0,0,1,0,1
8.7272127361,111.0,89.35112,48.0,21.6,7.5115870225,4178,13.096768126,20810,16.8,36.246509745,167.47047,57608,65.590405904,124201,51.043872433,13.36235932,2023,,,,0.9553305539011316,0.957712924359738,0.96605122096486,0.9571173317450864,0.9541393686718284,0.1265,0.1924,0.0851,0.88,0.79,597.0,1.0,0,0,0,1,0,0,0,0,0
5.919395466,3.0,27.72387,44.0,22.4,,256,9.9417475728,1290,12.0,58.52548462,38.2263,51885,58.930987821,10464,50.162461774,69.12776992,2023,,,,0.968421052631579,0.968421052631579,0.968421052631579,0.968421052631579,0.968421052631579,0.1283,0.1937,0.0866,0.53,0.79,2616.0,1.0,0,0,1,0,0,0,0,1,0
9.7432905484,4.0,19.62805,40.0,33.7,,533,11.347668725,2910,14.5,,92.21089,47833,82.887517147,18436,40.285311347,22.181564733,2023,,,,0.9760765550239234,0.985645933014354,0.985645933014354,0.9808612440191388,0.9808612440191388,0.1146,0.174,0.0756,0.99,0.99,1084.0,1.0,1,0,0,1,0,0,1,1,0
5.6283978254,2.0,9.09256,27.0,20.3,,1966,24.072486837,2820,13.4,58.506224066,18.26901,58712,60.435267857,21895,48.869604933,63.043478261,2023,,,,0.81640625,0.82421875,0.828125,0.8203125,0.828125,0.1166,0.1765,0.0789,0.68,0.99,5474.0,1.0,0,0,0,0,0,0,1,1,0
8.5685021015,265.0,76.79178,50.0,16.4,4.7870295957,7401,8.6221559467,47740,14.1,49.523979284,103.36223,77627,49.239817818,355062,50.683542593,6.1498271595,2023,,,,0.95333455814808,0.9524159470880028,0.9650927797170678,0.9557229469042808,0.950762447179864,0.1049,0.1574,0.0689,0.58,0.73,967.0,1.0,0,0,1,0,0,0,0,0,0
8.8019559902,1.0,16.072,38.0,26.7,,142,14.639175258,1020,16.9,67.88125879,34.112230000000004,43890,71.444201313,5863,34.129285349,22.334004024,2023,,,,0.95,0.95,0.95,0.95,0.95,0.1143,0.1758,0.0766,0.72,0.96,2932.0,1.0,0,0,0,0,0,0,1,0,1
8.1187010078,34.0,126.11276,57.0,14.8,,967,17.569040698,3470,13.0,,76.93153,71594,49.115164715,27297,51.306004323,53.653822925,2023,,,,0.9253246753246752,0.9123376623376624,0.935064935064935,0.9285714285714286,0.9155844155844156,0.1008,0.1475,0.0669,0.36,0.61,1300.0,1.0,1,1,0,0,0,0,0,1,0
,0.0,0.0,47.0,10.3,,102,26.424870466,190,13.3,,0.0,116958,27.986348123,1149,45.953002611,100.0,2023,,,,0.92,0.92,0.92,0.92,0.92,0.1235,0.1873,0.0822,0.18,0.81,1149.0,0.0,1,0,0,0,1,0,1,0,1
8.1027667984,,,47.0,24.3,,208,12.991880075,1070,14.1,28.449901725,13.960630000000002,58937,50.355731225,7163,50.20242915,100.0,2023,,,,0.989247311827957,0.978494623655914,0.989247311827957,0.989247311827957,0.989247311827957,0.1134,0.1709,0.0762,0.58,0.97,7163.0,1.0,0,0,1,0,0,0,1,0,1
8.8122605364,7.0,33.41608,44.0,23.1,,896,15.799682596,2740,13.1,30.735924734,71.27947,48164,78.357463804,19641,49.39157884,65.279951532,2023,,,,0.9836065573770492,0.971311475409836,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.1134,0.1709,0.0762,0.9,0.98,1403.0,1.0,0,0,0,1,0,0,1,1,0
7.1428571429,8.0,36.937850000000005,47.0,23.6,,908,16.506089802,3470,15.7,64.78755446,61.81645,45530,61.803781298,21030,45.468378507,19.387619259,2023,,,,0.960431654676259,0.960431654676259,0.9640287769784172,0.9640287769784172,0.9640287769784172,0.1241,0.1883,0.0824,0.84,0.95,1618.0,1.0,0,0,0,1,0,0,1,1,0
7.9365079365,62.0,44.82425,52.0,14.8,6.3785823376,4350,12.890416642,19450,14.6,39.24153424,94.73503,62678,54.599831508,139336,50.938020325,43.150475277,2023,,,,0.9368825466520307,0.9407244785949506,0.951152579582876,0.9445664105378704,0.9412733260153676,0.1317,0.1945,0.0881,0.66,0.79,1056.0,1.0,0,0,0,0,0,0,0,0,0
6.6396761134,12.0,91.88361,38.0,26.0,,463,13.541971337,2160,16.7,26.539211383,47.55866,51024,78.355347252,12616,51.077996195,61.478912991,2023,,,,0.9760479041916168,0.9760479041916168,0.9820359281437124,0.9700598802395208,0.9820359281437124,0.1285,0.1874,0.0874,0.9,0.98,2103.0,1.0,0,0,0,1,0,0,1,1,0
11.304347826,,,21.0,24.7,,101,15.303030303,420,12.5,49.944382647,122.39902,44353,53.971119134,3268,50.979192166,100.0,2023,,,,0.951219512195122,0.951219512195122,0.951219512195122,0.951219512195122,0.951219512195122,0.1241,0.1883,0.0824,0.45,0.82,817.0,1.0,0,0,1,0,0,0,1,0,1
8.8337684943,7.0,23.42783,42.0,29.9,,741,11.026785714,5230,17.4,30.386327196,59.523810000000005,42896,61.835205993,28560,51.37605042,74.011948529,2023,,,,0.9461756373937678,0.9405099150141644,0.9490084985835694,0.9490084985835694,0.9461756373937678,0.1356,0.2056,0.0926,0.78,0.98,1680.0,1.0,0,0,0,0,0,0,1,1,0
8.2079343365,3.0,16.31499,39.0,25.5,,492,12.484141081,3280,17.9,38.219766167,61.576350000000005,47526,59.838472834,17864,49.966412897,60.345477049,2023,,,,0.8372093023255814,0.916279069767442,0.9209302325581395,0.8372093023255814,0.8232558139534883,0.1278,0.1901,0.086,0.81,0.98,1624.0,1.0,0,0,0,1,0,0,1,1,0
8.0744374367,51.0,29.89309,40.0,12.5,5.3183169091,3711,8.4875237289,18060,11.1,44.61007155,51.40197,80145,41.107765969,177036,50.229896744,26.16225586,2023,,,,0.933249370277078,0.9389168765743072,0.9477329974811084,0.9351385390428212,0.9338790931989924,0.1024,0.1543,0.0667,0.43,0.77,1945.0,1.0,0,0,1,0,0,0,0,0,0
8.5445094217,10.0,30.53062,37.0,28.1,,1101,12.443490054,4680,14.0,49.51778371,74.48790000000001,47373,75.563232202,32220,47.172563625,23.099826317,2023,,,,0.981264637002342,0.97423887587822,0.990632318501171,0.9836065573770492,0.981264637002342,0.1143,0.1758,0.0766,0.93,0.97,1343.0,1.0,0,0,0,1,0,0,1,1,0
8.040201005,8.0,93.49071,25.0,22.8,,316,16.889363976,1440,17.1,,97.21716,53759,52.56869773,8229,50.22481468,64.377128097,2023,,,,0.9464285714285714,0.9375,0.9553571428571428,0.9553571428571428,0.9375,0.1264,0.1929,0.0847,0.61,0.78,1029.0,1.0,1,0,0,0,0,0,0,0,1
4.3795620438,5.0,124.65719,37.0,26.3,,188,21.33938706,600,15.2,,84.45946,45677,76.326530612,3552,49.408783784,100.0,2023,,,,0.9473684210526316,0.9473684210526316,0.9736842105263158,0.9736842105263158,0.9473684210526316,0.1293,0.1898,0.087,0.73,0.96,1184.0,1.0,1,0,0,0,0,0,1,0,1
8.9017102823,10.0,17.15119,46.0,15.1,6.2578222778,1706,11.509141199,9210,16.1,66.330426643,57.92217,67183,46.534464677,56973,50.566057606,51.547542784,2023,,,,0.8875154511742892,0.927070457354759,0.9406674907292956,0.892459826946848,0.8875154511742892,0.1338,0.1949,0.0899,0.25,0.81,1726.0,1.0,0,1,0,0,0,0,1,0,0
8.7783547757,2788.0,58.84025,51.0,23.0,5.9292286292,161681,12.748343979,695310,14.9,50.439585496,114.57203,63539,69.079986136,4728030,50.20824741,1.2132803285,2023,,,,0.9334318789549736,0.94357986347556,0.9506718264711256,0.9302097693035924,0.9266222657742198,0.1057,0.1669,0.0691,0.72,0.79,873.0,1.0,0,0,0,0,0,0,0,0,0
8.479741843,21.0,31.63318,45.0,20.0,6.8382220623,2012,12.12632594,10630,16.0,41.23539529,66.52205,56645,51.609815524,69150,50.856109906,56.054303607,2023,,,,0.946808510638298,0.9444444444444444,0.966903073286052,0.953900709219858,0.9562647754137116,0.1276,0.1901,0.0861,0.73,0.94,1503.0,1.0,0,0,0,0,0,0,1,0,0
6.9506726457,,,47.0,8.2,,224,18.436213992,610,10.9,,,71332,59.027777778,5397,39.003149898,57.258330584,2023,,,,0.896551724137931,0.8275862068965517,0.9655172413793104,0.896551724137931,0.8275862068965517,0.1241,0.1883,0.0824,0.53,0.74,,,1,0,1,0,0,0,0,0,1
8.8414634146,3.0,52.13764,38.0,27.4,,154,14.864864865,870,15.3,10.907424381,18.48087,43546,68.414322251,5411,46.220661615,47.61824038,2023,,,,0.9,0.9,0.92,0.88,0.92,0.1278,0.1901,0.086,0.98,0.99,5411.0,1.0,0,0,0,1,0,0,1,0,1
6.9996640161,103.0,42.67396,52.0,12.6,3.6802174159,6222,10.848982581,26660,12.0,51.110830383,66.95457999999999,79336,43.315629169,255397,50.197144054,31.712145226,2023,,,,0.9613857813063876,0.959942259112234,0.9635510645976182,0.9613857813063876,0.954168170335619,0.1018,0.157,0.0664,0.49,0.73,1494.0,1.0,0,0,1,0,0,0,0,0,0
4.8991354467,4.0,105.90416,35.0,14.9,,248,20.735785953,500,12.9,,122.28676000000002,65387,44.811858609,3271,50.290431061,26.95035461,2023,,,,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.1241,0.1883,0.0824,0.74,0.8,818.0,1.0,1,0,0,0,0,0,1,0,1
7.6177068669,27.0,32.22265,52.0,22.7,8.6275762901,2134,11.777041943,13710,16.7,52.683585114,53.78465,50348,68.687435682,83667,50.83724766,60.110528192,2023,,,,0.935288169868554,0.9312436804853388,0.9544994944388272,0.9393326592517696,0.9373104145601616,0.1398,0.2105,0.0948,0.72,0.9,1859.0,1.0,0,0,0,0,0,0,1,0,0
8.6074300215,406.0,46.3894,47.0,37.6,4.3081601622,41304,14.839831568,164720,19.1,80.255526351,102.79932,44260,85.880367608,880356,50.671660101,5.1386929524,2023,,,,0.9547646849774076,0.9747677311265674,0.9854800223384272,0.954358531756105,0.9537493019241507,0.1074,0.1741,0.0695,0.98,0.99,973.0,1.0,0,0,0,1,0,0,1,0,0
7.9505300353,9.0,24.32038,40.0,21.3,,1184,13.587330732,5370,14.9,41.380210643,49.35428,52495,61.761919798,36471,49.787502399,76.266066289,2023,,,,0.930715935334873,0.930715935334873,0.9515011547344112,0.9330254041570438,0.9237875288683602,0.1248,0.188,0.085,0.87,0.93,2026.0,1.0,0,0,0,1,0,0,1,1,0
6.2231759657,1.0,18.69508,40.0,23.3,,172,13.607594937,870,16.5,64.290443611,55.63798,50329,65.685164213,5392,50.853115727,100.0,2023,,,,0.9701492537313432,0.9850746268656716,1.0,0.9701492537313432,0.9850746268656716,0.1283,0.1937,0.0866,0.57,0.85,1797.0,1.0,0,0,1,0,0,0,1,0,1
9.2833092833,14.0,61.07936,37.0,22.8,,856,14.016702145,3390,14.7,41.795146612,70.21486,51078,64.010338143,21363,50.156813182,39.847394811,2023,,,,0.9345794392523364,0.9470404984423676,0.9470404984423676,0.940809968847352,0.9376947040498442,0.1143,0.1758,0.0766,0.9,0.97,1424.0,1.0,0,0,0,1,0,0,1,1,0
10.414114188,10.0,24.72066,43.0,29.3,4.8959608323,1274,11.431135038,7420,18.2,78.561748264,102.96805,43852,78.986915404,38847,50.353952686,40.085214751,2023,,,,0.901840490797546,0.9427402862985684,0.950920245398773,0.901840490797546,0.9079754601226994,0.0992,0.1603,0.0642,0.92,0.99,971.0,1.0,0,0,0,1,0,0,1,0,0
7.2887213321,10.0,26.90342,49.0,20.6,,1296,14.007782101,5170,14.1,47.409821557,96.74559,56680,60.551948052,37211,50.595254092,59.62572168,2023,,,,0.956611570247934,0.9586776859504132,0.9648760330578512,0.9607438016528924,0.9545454545454546,0.1283,0.1937,0.0866,0.71,0.76,1034.0,1.0,0,0,0,0,0,0,0,0,0
9.7485253027,10.0,27.36727,36.0,19.4,,945,11.800699301,5840,16.1,47.882369016,117.20581,55842,56.391382406,34128,42.123769339,20.064549297,2023,,,,0.9649122807017544,0.9517543859649122,0.9649122807017544,0.9649122807017544,0.9539473684210528,0.1235,0.1873,0.0822,0.92,0.97,853.0,1.0,0,0,0,1,0,0,1,1,0
10.526315789,,,21.0,34.8,,218,22.614107884,850,18.1,,0.0,38904,88.013136289,3287,46.273197444,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1166,0.1765,0.0789,0.98,0.98,3287.0,0.0,1,0,0,1,0,0,1,0,1
8.6433394721,29.0,29.05608,43.0,17.6,7.3944103271,2734,11.283532811,14620,15.2,49.665821138,72.53806,58326,57.242331818,103394,50.50583206,56.631332072,2023,,,,0.9448051948051948,0.9407467532467532,0.950487012987013,0.9472402597402596,0.9472402597402596,0.1122,0.1653,0.0743,0.83,0.87,1379.0,1.0,0,0,0,1,0,0,1,0,0
8.803728638,5.0,24.18146,44.0,17.5,,745,13.967004124,3140,14.9,72.830580163,63.4301,56646,50.609756098,20495,49.212002928,22.564334086,2023,,,,0.949748743718593,0.9547738693467336,0.9547738693467336,0.949748743718593,0.9447236180904522,0.1241,0.1883,0.0824,0.66,0.86,1577.0,1.0,0,0,0,0,0,0,1,1,0
11.538461538,0.0,0.0,45.0,12.4,,59,16.388888889,200,13.1,,0.0,69966,41.486068111,1552,49.484536082,100.0,2023,,,,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.1235,0.1873,0.0822,0.2,0.88,1552.0,0.0,1,1,0,0,0,0,1,0,1
7.2900158479,5.0,55.21201000000001,35.0,20.6,,292,14.476945959,1420,15.9,,68.87052,51846,65.995115995,8712,43.721303949,53.217602831,2023,,,,0.96875,0.96875,0.96875,0.96875,0.96875,0.1293,0.1898,0.087,0.65,0.98,1452.0,1.0,1,0,0,0,0,0,1,0,1
7.2108843537,2.0,13.46439,40.0,18.1,,587,15.097736626,2190,14.8,35.973896055,72.74651,60666,52.333759591,15121,49.990080021,61.818827709,2023,,,,0.9787234042553192,0.9822695035460992,0.9858156028368794,0.9822695035460992,0.9822695035460992,0.1134,0.1709,0.0762,0.68,0.93,1375.0,1.0,0,0,0,0,0,0,1,1,0
8.4089323098,12.0,33.92226,40.0,32.2,,967,11.594724221,6970,19.6,53.342158311,81.88021,50038,65.382567016,32975,50.147081122,78.185382246,2023,,,,0.8959390862944162,0.9086294416243654,0.9213197969543148,0.8984771573604061,0.8984771573604061,0.1428,0.2169,0.0983,0.82,0.92,1221.0,1.0,0,0,0,1,0,0,1,1,0
9.2592592593,1.0,45.04505,20.0,57.1,,20,31.25,350,15.7,,51.30836,56149,45.25862069,1949,49.615187276,100.0,2023,,,,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.1166,0.1765,0.0789,0.36,0.89,1949.0,1.0,1,1,0,0,0,0,1,0,1
10.308434918,129.0,51.5738,46.0,27.0,8.6384204031,7432,12.279223461,46070,18.2,56.477132093,139.53268,55575,69.418019693,253704,48.458045596,8.4020089348,2023,,,,0.9468120251073672,0.9484638255698712,0.9643211100099108,0.9540799471423852,0.948794185662372,0.1231,0.1913,0.0827,0.86,0.95,717.0,1.0,0,0,0,1,0,0,1,0,0
10.179640719,,,27.0,42.3,,89,14.262820513,510,17.0,,35.14938,34766,81.715575621,2845,49.912126538,100.0,2023,,,,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.1241,0.1883,0.0824,0.95,1.0,2845.0,1.0,1,0,0,1,0,0,1,0,1
7.0512820513,27.0,42.50161,52.0,16.1,7.3042684319,1559,11.453971053,7780,13.0,78.755296044,73.18364,68911,52.990591398,64222,50.928030893,32.845531632,2023,,,,0.892128279883382,0.9052478134110788,0.924198250728863,0.8877551020408163,0.8892128279883382,0.1134,0.1689,0.0762,0.26,0.66,1366.0,1.0,0,1,0,0,0,0,0,0,0
6.6413662239,3.0,56.82894,45.0,16.7,,406,25.438596491,600,11.1,,58.1508,57692,55.938416422,5159,48.885442915,40.334936754,2023,,,,0.9318181818181818,0.9204545454545454,0.9545454545454546,0.9545454545454546,0.9318181818181818,0.1241,0.1883,0.0824,0.76,0.83,1720.0,1.0,1,0,0,0,0,0,1,0,1
9.5457537854,4.0,17.51697,42.0,28.8,,463,10.425579824,3880,16.9,41.141908874,71.93921,45603,70.635910224,22241,46.126523088,73.487274566,2023,,,,0.88,0.9155555555555556,0.9555555555555556,0.8933333333333333,0.8844444444444445,0.1365,0.206,0.093,0.91,0.97,1390.0,1.0,0,0,0,1,0,0,1,1,0
7.9766536965,1.0,19.29012,38.0,37.1,,181,11.536010198,1020,19.7,,,37454,87.04028021,4801,48.052489065,17.396226415,2023,,,,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.1146,0.1867,0.0742,0.99,1.0,,,1,0,0,1,0,0,1,0,1
8.3248730964,2.0,13.43815,40.0,27.3,,335,11.290866195,2830,19.2,58.626081099,57.85781,46569,74.559082892,13827,51.131843495,77.236887213,2023,,,,0.88125,0.9,0.925,0.9,0.9,0.1365,0.206,0.093,0.8,0.97,1728.0,1.0,0,0,0,1,0,0,1,1,0
6.8209583277,78.0,43.43589,49.0,12.8,6.3472563473,6538,13.608642258,22190,12.9,44.900670064,72.61854,76226,49.06062587,187280,49.832870568,37.874170167,2023,,,,0.9382142857142856,0.9407142857142856,0.9507142857142856,0.9432142857142856,0.9414285714285714,0.1346,0.1961,0.0907,0.51,0.73,1377.0,1.0,0,0,1,0,0,0,0,0,0
,0.0,0.0,36.0,23.4,,29,39.726027397,40,10.9,,0.0,42379,52.808988764,340,48.235294118,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.0992,0.1603,0.0642,0.73,0.99,340.0,0.0,1,0,0,0,0,0,1,0,1
,0.0,0.0,25.0,15.8,,28,14.893617021,100,14.1,,0.0,54154,38.636363636,749,47.396528705,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1278,0.1901,0.086,0.44,0.91,749.0,0.0,1,0,1,0,0,0,1,0,1
8.3084442031,45.0,85.11604,53.0,20.1,6.0109289617,1484,14.706173818,7690,14.7,61.072780424,116.62685,60834,58.270398341,53161,51.511446361,41.102267003,2023,,,,0.9168241965973536,0.9111531190926276,0.9319470699432892,0.9206049149338374,0.9130434782608696,0.1008,0.1475,0.0669,0.7,0.6,857.0,1.0,0,0,0,0,0,0,0,0,0
8.3591331269,4.0,90.99181,30.0,32.1,,122,14.950980392,730,16.8,,114.54754,48671,65.442404007,4365,50.652920962,44.302148904,2023,,,,0.9787234042553192,1.0,0.9787234042553192,1.0,1.0,0.1235,0.1873,0.0822,0.59,0.82,873.0,1.0,1,0,1,0,0,0,1,0,1
,0.0,0.0,,14.5,,22,27.848101266,60,23.2,,0.0,74890,21.25984252,258,47.674418605,100.0,2023,,,,0.75,0.75,0.5,0.75,0.5,0.1143,0.1758,0.0766,0.2,0.68,258.0,0.0,1,0,0,0,1,0,0,0,1
6.7226890756,,,28.0,24.7,,109,15.013774105,600,16.2,,63.89776,50567,64.161849711,3130,44.313099042,20.455808783,2023,,,,1.0,1.0,1.0,1.0,1.0,0.107,0.1724,0.0705,0.86,0.98,1565.0,1.0,1,0,0,1,0,0,1,0,1
8.2252559727,13.0,42.85055,42.0,32.0,,849,11.300412618,5490,17.9,49.461018366,52.22783999999999,49226,70.935765266,30635,49.198629019,18.870278532,2023,,,,0.9470198675496688,0.9536423841059604,0.956953642384106,0.9470198675496688,0.9503311258278144,0.0992,0.1603,0.0642,0.98,0.99,1915.0,1.0,0,0,0,1,0,0,1,1,0
6.8322981366,1.0,27.15178,14.0,28.6,,174,17.827868852,490,13.3,39.368795812,179.05103,45558,61.096605744,3351,50.402864816,100.0,2023,,,,0.9361702127659576,0.9361702127659576,0.9361702127659576,0.9361702127659576,0.9361702127659576,0.1278,0.1901,0.086,0.8,0.93,559.0,1.0,0,0,0,0,0,0,1,0,1
10.849056604,,,29.0,32.3,,169,11.59917639,1060,14.1,,194.90255,40549,78.260869565,6670,40.539730135,46.354923032,2023,,,,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.107,0.1724,0.0705,0.82,0.97,513.0,1.0,1,0,0,1,0,0,1,0,1
8.4627159414,20.0,40.07614,50.0,25.2,7.0609002648,1610,13.386546936,9020,18.1,45.626298291,139.72614000000002,50787,60.81048581,50098,51.45514791,47.082923302,2023,,,,0.9625187406296852,0.9610194902548724,0.9655172413793104,0.9640179910044976,0.9640179910044976,0.1283,0.1937,0.0866,0.84,0.94,716.0,1.0,0,0,0,1,0,0,1,0,0
8.5547290117,14.0,38.12117,42.0,31.7,,1313,13.637307852,6400,17.4,61.405185157,77.0416,50054,72.004591764,36344,49.72485142,36.417633916,2023,,,,0.9763779527559056,0.9763779527559056,0.984251968503937,0.9783464566929134,0.9744094488188976,0.1114,0.1704,0.0738,0.91,0.94,1298.0,1.0,0,0,0,1,0,0,1,1,0
8.5894405043,4.0,31.47128,32.0,26.3,,547,15.522133939,1980,15.2,30.81841909,62.02512,48981,69.924541861,12898,49.9612343,57.687629677,2023,,,,0.9629629629629628,0.9629629629629628,0.9814814814814816,0.9814814814814816,0.9629629629629628,0.1143,0.1758,0.0766,0.9,0.99,1612.0,1.0,0,0,0,1,0,0,1,1,0
8.3267352864,13.0,22.26866,27.0,28.0,6.915813273,2663,14.710269016,11660,20.1,84.828082438,48.2293,41815,83.333333333,58056,49.671007303,9.2557779498,2023,,,,0.8766730401529637,0.8996175908221797,0.95697896749522,0.8766730401529637,0.8565965583173997,0.107,0.1724,0.0705,0.97,1.0,2073.0,1.0,0,0,0,1,0,0,1,0,0
7.1911493546,14.0,69.25208,47.0,15.9,,591,12.046473706,2480,12.4,37.637176067,77.88162,54421,37.42280774,20544,50.910241433,81.316513523,2023,,,,0.9615384615384616,0.9583333333333334,0.971153846153846,0.9647435897435898,0.9647435897435898,0.1134,0.1709,0.0762,0.69,0.91,1284.0,1.0,0,0,0,0,0,0,1,1,0
7.3342736248,,,43.0,23.8,,708,17.633872976,3010,17.4,41.965456189,31.33028,51582,58.362760835,15959,49.909142177,100.0,2023,,,,0.9285714285714286,0.945054945054945,0.945054945054945,0.934065934065934,0.9285714285714286,0.1225,0.1864,0.0827,0.62,0.92,3192.0,1.0,0,0,0,0,0,0,1,1,0
8.5500490677,19.0,20.75437,39.0,22.0,6.8758594824,3306,12.773849542,14420,16.7,38.264390733,40.97479,57174,77.039155735,97621,50.224849162,63.227264915,2023,,,,0.9701879455605964,0.9643551523007128,0.9766688269604666,0.9753726506804924,0.966299416720674,0.1377,0.2028,0.0929,0.94,0.97,2441.0,1.0,0,0,0,1,0,0,1,0,0
10.221550856,9.0,38.56041,41.0,24.5,,651,12.799842705,3860,16.5,29.147404479,63.294,50381,74.421768707,22119,48.225507482,53.617858365,2023,,,,0.8098591549295775,0.8697183098591549,0.897887323943662,0.8169014084507042,0.8098591549295775,0.1248,0.188,0.085,0.95,0.98,1580.0,1.0,0,0,0,1,0,0,1,1,0
5.3691275168,,,38.0,19.0,,224,27.757125155,430,13.0,,34.118050000000004,64249,67.213114754,2931,48.515864893,100.0,2023,,,,0.925,0.95,0.95,0.925,0.925,0.1241,0.1883,0.0824,0.46,0.87,2931.0,1.0,1,0,1,0,0,0,1,0,1
7.2589382449,1.0,8.11425,36.0,25.0,,413,16.202432326,2070,17.0,,43.94832,52910,63.069245165,11377,44.721807155,100.0,2023,,,,0.9779411764705882,0.9705882352941176,0.9779411764705882,0.9852941176470588,0.9926470588235294,0.1146,0.1867,0.0742,0.69,0.95,2275.0,1.0,1,0,0,0,0,0,1,1,0
8.0576759966,15.0,68.31223,42.0,23.1,,489,14.399293286,3150,14.7,68.222322912,54.60005,61037,63.660762211,21978,51.305851306,45.179006269,2023,,,,0.9574468085106383,0.9645390070921984,0.9716312056737588,0.9574468085106383,0.9787234042553192,0.1264,0.1929,0.0847,0.47,0.76,1832.0,1.0,0,0,1,0,0,0,0,1,0
