county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Bowie,9.8661613171,63.0,67.01272,43.0,25.5,8.4053510122,1868,8.1426267382,20180,21.5,45.089203319,148.42458,674:1,47339,60.490387295,94324,49.670285399,35.424836601,2020,,,0.0,582.0,666.0,15.0,1088,0.1356,0.2056,0.0926,0.85,Very High Vulnerability,0.86,Very High Concern,674,1
Brazoria,8.3679990354,234.0,64.55938,41.0,13.1,4.5152091255,9325,9.1593980827,48610,14.0,39.686637624,60.23771,1660:1,74225,44.17376277,370200,49.486493787,22.52862699,2020,,,0.0,3787.0,3424.0,77.0,4495,0.1074,0.1608,0.071,0.51,Moderate Vulnerability,0.69,High Concern,1660,1
Brazos,7.6380852183,190.0,85.2668,53.0,20.2,4.5098750713,5110,10.659824353,43590,20.3,33.582402407,59.53483,1680:1,50113,56.573967418,226758,49.450074529,12.063576784,2020,,,0.0,1783.0,2041.0,39.0,2636,0.1055,0.1682,0.0691,0.65,High Vulnerability,0.81,Very High Concern,1680,1
Brewster,6.338028169,6.0,64.26047,21.0,21.2,,224,11.826821542,1130,12.3,,75.53685,1324:1,45670,51.791277259,9267,49.455055574,34.867850953,2020,,,0.0,33.5,39.5,5.0,75,0.1166,0.1765,0.0789,0.66,High Vulnerability,0.84,Very High Concern,1324,1
Briscoe,,0.0,0.0,29.0,24.3,,79,25.079365079,210,13.4,,65.96306,1516:1,44409,54.411764706,1516,50.593667546,100.0,2020,,,0.0,20.0,18.5,2.5,12,0.1241,0.1883,0.0824,0.46,Moderate Vulnerability,0.95,Very High Concern,1516,1
Brooks,8.4158415842,,,39.0,48.6,,130,6.2560153994,1070,14.7,,28.113580000000002,3557:1,30116,79.924480806,7114,49.465842002,31.759656652,2020,,,0.0,77.5,90.0,2.5,95,0.0992,0.1603,0.0642,1.0,Very High Vulnerability,0.99,Very High Concern,3557,1
Brown,9.1098748261,19.0,49.93036,41.0,21.2,8.7138375741,917,10.482395976,5980,15.8,47.635153175,81.74243,1223:1,47097,62.892263196,37924,50.522096825,40.40046187,2020,,,0.0,310.0,357.0,15.0,384,0.1278,0.1901,0.086,0.63,High Vulnerability,0.72,High Concern,1223,1
Burleson,8.2162921348,7.0,38.86514,41.0,23.7,,500,11.930326891,2840,16.1,17.476375419,43.50427,2299:1,53626,61.390374332,18389,50.812986024,76.65677547,2020,,,0.0,180.0,161.5,5.0,205,0.1225,0.1864,0.0827,0.61,High Vulnerability,0.83,Very High Concern,2299,1
Burnet,6.6547831254,22.0,47.004529999999995,45.0,18.6,,1477,13.95107207,6100,13.5,56.658653402,58.895289999999996,1698:1,56696,60.123772366,47542,50.999116571,55.67251462,2020,,,0.0,290.0,347.0,5.0,499,0.1264,0.1929,0.0847,0.53,Moderate Vulnerability,0.7,High Concern,1698,1
Caldwell,8.6456908345,12.0,28.343329999999998,45.0,20.7,,1156,11.133583743,5070,12.5,45.185992619,50.87058,1966:1,52588,73.376539209,43247,49.541008625,42.292334367,2020,,,0.0,412.0,438.0,20.0,629,0.124,0.188,0.0827,0.87,Very High Vulnerability,0.97,Very High Concern,1966,1
