county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Ochiltree,6.5853658537,4.0,39.710119999999996,33.0,15.7,,640,18.979833926,1030,9.8,65.179531284,20.106559999999998,4974:1,49845,58.138489209,9947,49.431989545,13.90981121,2020,,,0.0,81.0,147.0,7.5,125,0.1241,0.1883,0.0824,0.58,Moderate Vulnerability,0.9,Very High Concern,4974,1
Oldham,7.2289156627,,,40.0,25.4,,33,10.3125,300,14.6,,46.92633,2131:1,56590,47.222222222,2131,47.958704833,100.0,2020,,,0.0,20.0,17.5,0.0,26,0.1241,0.1883,0.0824,0.43,Moderate Vulnerability,0.72,High Concern,2131,1
Orange,9.4620133552,18.0,21.16477,43.0,20.1,8.5382948898,1773,8.0048760666,15950,19.0,74.836052417,34.70062,2882:1,56556,66.346282205,83572,50.415210836,35.171132862,2020,,,0.0,753.0,762.0,22.5,1038,0.1338,0.1949,0.0899,0.58,Moderate Vulnerability,0.86,Very High Concern,2882,1
Palo Pinto,7.8571428571,12.0,42.002100000000006,44.0,25.0,7.7639751553,915,13.093875215,4690,16.7,59.888198181,51.948049999999995,1925:1,46067,67.854799913,28875,50.701298701,50.215218242,2020,,,0.0,206.0,192.5,7.5,344,0.1134,0.1689,0.0762,0.88,Very High Vulnerability,0.93,Very High Concern,1925,1
Panola,7.7704418487,8.0,34.41896,38.0,25.9,9.9502487562,666,11.688311688,4510,19.1,31.072430937,25.92017,3858:1,51192,50.373038333,23148,50.509763262,72.718103883,2020,,,0.0,146.0,168.5,7.5,264,0.1282,0.1918,0.0871,0.7,High Vulnerability,0.92,Very High Concern,3858,1
Parker,6.7543512658,59.0,44.207010000000004,46.0,11.5,5.8893990817,3831,10.972675717,17560,13.9,61.997470481,35.41204,2824:1,73718,33.621517771,138371,50.226564815,56.084565584,2020,,,0.0,1292.0,1252.0,7.5,1636,0.1198,0.1716,0.0811,0.26,Low Vulnerability,0.68,High Concern,2824,1
Parmer,6.945681211,2.0,20.32107,31.0,19.2,,544,18.440677966,910,9.3,,111.51663,897:1,50539,74.488926746,9864,48.063665856,60.015580874,2020,,,0.0,101.5,157.0,0.0,169,0.1241,0.1883,0.0824,0.76,High Vulnerability,0.97,Very High Concern,897,1
Pecos,9.5693779904,7.0,44.77421,16.0,24.3,,537,13.716475096,1290,8.2,,82.94519,1206:1,47008,62.484510533,15673,43.137880431,39.77558522,2020,,,0.0,168.0,220.5,15.0,217,0.1166,0.1765,0.0789,0.82,Very High Vulnerability,0.98,Very High Concern,1206,1
Polk,7.0808844109,29.0,58.98865,45.0,24.7,6.4715813168,1422,13.665193158,8880,18.9,46.391874528,49.96901999999999,2001:1,46017,75.7077495,50031,46.159381184,77.638561645,2020,,,0.0,370.0,397.0,10.0,497,0.1365,0.206,0.093,0.91,Very High Vulnerability,0.97,Very High Concern,2001,1
Potter,9.6320023838,90.0,74.71484000000001,47.0,27.7,7.9912822376,4229,12.466100696,20070,16.6,47.738630094,189.72319,527:1,41912,73.617192207,119648,48.50812383,8.9962254177,2020,,,0.0,1223.0,1289.0,39.0,1582,0.1281,0.2007,0.0864,0.92,Very High Vulnerability,0.87,Very High Concern,527,1
Presidio,7.9852579853,2.0,27.948570000000004,12.0,35.2,,285,14.630390144,970,13.5,,43.17789,2316:1,37738,89.677010766,6948,48.805411629,40.470708621,2020,,,0.0,74.0,91.0,7.5,74,0.1166,0.1765,0.0789,1.0,Very High Vulnerability,0.99,Very High Concern,2316,1
Rains,7.0175438596,2.0,17.00391,38.0,23.7,,325,13.638271087,1810,16.1,1.6706594322,8.22436,12159:1,47572,61.231671554,12159,50.2919648,93.228880337,2020,,,0.0,77.5,60.0,0.0,117,0.1285,0.1874,0.0874,0.4,Moderate Vulnerability,0.89,Very High Concern,12159,1
Randall,7.7036013473,80.0,59.505210000000005,49.0,11.4,5.7708871662,2627,7.7235174786,17490,13.4,56.75468584,49.900569999999995,2004:1,69600,39.792006346,136271,50.815654101,14.375647132,2020,,,0.0,1385.0,1288.0,30.5,1602,0.1021,0.1521,0.0667,0.22,Low Vulnerability,0.6,High Concern,2004,1
Reagan,7.7951002227,2.0,53.908359999999995,19.0,13.5,,160,14.047410009,320,8.5,,53.46164,1871:1,65273,63.562281723,3741,46.511627907,13.305613306,2020,,,0.0,41.5,60.0,2.5,56,0.1235,0.1873,0.0822,0.48,Moderate Vulnerability,0.94,Very High Concern,1871,1
Real,6.8273092369,1.0,29.16302,35.0,35.6,,85,14.166666667,580,17.4,,86.25647000000001,1159:1,39506,69.636963696,3478,50.172512938,100.0,2020,,,0.0,22.5,25.0,0.0,27,0.107,0.1724,0.0705,0.72,High Vulnerability,0.93,Very High Concern,1159,1
Red River,9.8765432099,2.0,16.35457,49.0,28.6,,287,11.493792551,2480,20.1,49.590776375,24.64066,4058:1,42233,66.209829868,12175,51.441478439,75.730948678,2020,,,0.0,114.0,141.5,5.0,110,0.1283,0.1937,0.0866,0.56,Moderate Vulnerability,0.99,Very High Concern,4058,1
Reeves,8.5629188384,6.0,39.26445,28.0,21.9,,413,11.666666667,1040,7.1,50.891703119,38.22874,2616:1,45341,65.110477548,15695,38.630136986,14.496118407,2020,,,0.0,164.0,205.0,15.0,214,0.1166,0.1765,0.0789,0.78,High Vulnerability,0.98,Very High Concern,2616,1
Refugio,8.6294416244,2.0,27.68549,28.0,25.5,,191,10.790960452,940,12.9,32.78357649,42.662119999999994,2344:1,44821,70.542635659,7032,50.938566553,60.679940404,2020,,,0.0,41.5,63.5,2.5,58,0.1183,0.18,0.0772,0.94,Very High Vulnerability,0.99,Very High Concern,2344,1
Roberts,,0.0,0.0,49.0,10.2,,28,10.9375,120,13.1,,0.0,903:0,67470,21.00456621,903,50.387596899,100.0,2020,,,0.0,17.5,17.5,0.0,,0.1241,0.1883,0.0824,0.09,Very Low Vulnerability,0.67,High Concern,903,0
Robertson,9.6556380824,1.0,5.81294,41.0,25.6,,494,11.488372093,2930,17.5,39.476494824,40.49988,2469:1,44917,62.297972377,17284,50.948854432,73.853928528,2020,,,0.0,174.0,175.0,7.5,220,0.1225,0.1864,0.0827,0.75,High Vulnerability,0.93,Very High Concern,2469,1
Rockwall,7.7940348903,76.0,78.52213,51.0,6.9,4.1637751561,2413,8.5670666761,10770,11.9,35.593721911,81.46478,1228:1,102858,25.523799291,100657,50.584658792,16.035845131,2020,,,0.0,946.0,857.0,22.5,1134,0.1122,0.1653,0.0743,0.11,Very Low Vulnerability,0.51,Moderate Concern,1228,1
Runnels,6.9199457259,7.0,68.18625,37.0,23.9,,301,12.215909091,1420,13.8,48.220703638,68.39945,1462:1,42205,55.605832076,10234,49.159663866,40.758023045,2020,,,0.0,120.0,104.0,7.5,101,0.1278,0.1901,0.086,0.54,Moderate Vulnerability,0.92,Very High Concern,1462,1
Rusk,7.1994408201,11.0,20.82032,41.0,20.8,4.7978067169,1389,11.029061458,9620,18.2,20.628924531,31.2213,3203:1,49788,65.211913975,54450,46.073461892,65.872867054,2020,,,0.0,392.0,385.0,7.5,618,0.1282,0.1918,0.0871,0.8,High Vulnerability,0.94,Very High Concern,3203,1
Sabine,7.7598828697,2.0,19.11863,40.0,28.5,,300,14.713094654,2210,21.2,5.7895152467,113.32515,882:1,40641,68.575772935,10589,50.769666635,100.0,2020,,,0.0,50.0,66.5,2.5,113,0.1428,0.2169,0.0983,0.53,Moderate Vulnerability,0.93,Very High Concern,882,1
San Augustine,9.4637223975,2.0,24.233610000000002,45.0,34.3,,182,10.84624553,1970,23.5,50.749616957,48.59086,2058:1,38826,84.385665529,8232,50.777453839,100.0,2020,,,0.0,45.5,59.5,2.5,86,0.1428,0.2169,0.0983,0.89,Very High Vulnerability,0.98,Very High Concern,2058,1
San Jacinto,8.3540527101,3.0,10.61196,38.0,28.4,,866,13.680884676,5010,18.3,8.0306156533,13.92806,7180:1,47028,58.551704706,28719,50.384762701,100.0,2020,,,0.0,201.0,200.5,10.0,289,0.1365,0.206,0.093,0.69,High Vulnerability,0.89,Very High Concern,7180,1
San Patricio,8.9127594716,18.0,26.779739999999997,39.0,26.1,5.6279620853,2008,10.641229465,8280,12.4,42.279739861,50.82744,1967:1,53559,73.393985693,66893,49.692792968,19.650021604,2020,,,0.0,780.0,878.0,20.0,896,0.1183,0.18,0.0772,0.83,Very High Vulnerability,0.97,Very High Concern,1967,1
San Saba,6.0869565217,2.0,33.56268,23.0,28.0,,217,17.685411573,870,14.9,,49.55401,2018:1,43827,68.52886406,6054,45.3584407,49.355733159,2020,,,0.0,32.0,49.5,0.0,40,0.1264,0.1929,0.0847,0.73,High Vulnerability,0.97,Very High Concern,2018,1
Schleicher,5.8823529412,,,24.0,23.8,,167,19.928400955,260,8.5,,34.54231,2895:1,47317,60.0,2895,50.397236615,100.0,2020,,,0.0,25.0,32.0,0.0,23,0.1235,0.1873,0.0822,0.59,Moderate Vulnerability,0.96,Very High Concern,2895,1
Scurry,8.7729697688,9.0,52.78592,31.0,21.3,,531,11.807871915,2130,12.3,31.499128051,35.57453,2811:1,53059,55.96759115,16866,45.760702004,31.700254122,2020,,,0.0,180.0,215.5,10.0,231,0.1278,0.1901,0.086,0.7,High Vulnerability,0.95,Very High Concern,2811,1
Shackelford,7.8189300412,1.0,30.04808,45.0,20.5,,143,17.228915663,540,16.2,,30.740850000000002,3253:1,57126,48.037676609,3253,51.675376575,100.0,2020,,,0.0,40.0,22.5,0.0,37,0.1278,0.1901,0.086,0.69,High Vulnerability,0.72,High Concern,3253,1
Shelby,8.2526152654,5.0,19.59785,42.0,30.1,,910,13.102951764,5280,20.6,30.947739802,78.6844,1271:1,41961,74.401170232,25418,50.283263829,79.432568375,2020,,,0.0,191.0,195.0,12.5,295,0.1428,0.2169,0.0983,0.95,Very High Vulnerability,0.99,Very High Concern,1271,1
Sherman,7.2463768116,,,36.0,15.9,,223,25.140924464,320,10.5,,32.47808,3079:1,57052,60.997442455,3079,47.905164014,100.0,2020,,,0.0,25.0,22.5,2.5,54,0.1241,0.1883,0.0824,0.46,Moderate Vulnerability,0.87,Very High Concern,3079,1
Smith,7.7370970747,232.0,101.87637000000001,52.0,22.2,8.0059579222,6206,10.704060161,40500,18.2,38.798301938,138.56251,722:1,56848,62.402349161,230221,51.695544716,31.60780873,2020,,,0.0,1596.0,1854.0,41.5,2894,0.116,0.1766,0.0768,0.75,High Vulnerability,0.67,High Concern,722,1
Somervell,7.003257329,6.0,67.83493,45.0,14.2,,322,15.333333333,1480,17.1,,88.73114,1127:1,63929,44.123408423,9016,50.732031943,100.0,2020,,,0.0,77.0,80.0,2.5,65,0.1134,0.1689,0.0762,0.56,Moderate Vulnerability,0.71,High Concern,1127,1
Starr,8.7623707328,13.0,20.16942,25.0,45.3,3.928844265,2336,10.825841134,8190,12.9,,52.692750000000004,1898:1,30490,89.321107188,64525,51.290197598,23.705878494,2020,,,0.0,635.0,564.0,20.0,1115,0.1146,0.1867,0.0742,0.98,Very High Vulnerability,1.0,Very High Concern,1898,1
Stephens,8.3682008368,3.0,32.13023,32.0,30.4,,328,15.746519443,1560,16.6,35.002988643,106.01080999999999,943:1,43115,63.091272485,9433,47.100604262,39.366562825,2020,,,0.0,64.5,94.5,7.5,111,0.1278,0.1901,0.086,0.88,Very High Vulnerability,0.86,Very High Concern,943,1
Sterling,,0.0,0.0,38.0,17.3,,67,18.108108108,130,11.5,,152.5553,656:1,59064,39.735099338,1311,49.046529367,100.0,2020,,,0.0,22.5,22.5,0.0,18,0.1235,0.1873,0.0822,0.41,Moderate Vulnerability,0.8,Very High Concern,656,1
Stonewall,,1.0,72.04611,12.0,17.8,,62,19.076923077,160,14.3,,440.52863,227:1,46915,44.49339207,1362,51.174743025,100.0,2020,,,0.0,17.5,20.0,0.0,,0.1278,0.1901,0.086,0.32,Low Vulnerability,0.79,High Concern,227,1
Sutton,8.0428954424,3.0,79.63897,41.0,22.6,,127,13.10629515,310,8.0,,133.04949000000002,752:1,54774,58.384332925,3758,48.908994146,18.798449612,2020,,,0.0,30.0,41.0,5.0,35,0.1235,0.1873,0.0822,0.6,High Vulnerability,0.94,Very High Concern,752,1
Swisher,7.9147640791,1.0,13.306719999999999,23.0,29.2,,225,11.491317671,1140,15.1,33.296664058,40.2037,2487:1,43084,71.809169765,7462,46.730099169,37.573211103,2020,,,0.0,55.5,71.0,0.0,78,0.1241,0.1883,0.0824,0.97,Very High Vulnerability,1.0,Very High Concern,2487,1
Tarrant,8.344893005,1196.0,58.21439,49.0,16.8,6.5634381737,63361,11.141512204,316980,16.0,47.514770115,80.53023999999999,1242:1,66059,54.704259724,2084931,51.072865241,1.2882013273,2020,,,0.0,15975.0,15465.0,549.0,26640,0.1069,0.1641,0.0701,0.55,Moderate Vulnerability,0.73,High Concern,1242,1
Taylor,8.8202790441,97.0,71.17177,44.0,22.1,5.5920592758,2928,8.3908869466,22660,16.7,38.819381445,143.12699999999998,699:1,48040,60.007380982,137640,51.158093577,16.033488966,2020,,,0.0,1610.0,1421.0,30.5,1933,0.1178,0.1846,0.0776,0.69,High Vulnerability,0.78,High Concern,699,1
Terrell,,0.0,0.0,16.0,22.8,,45,24.590163934,90,12.2,,121.50667999999999,823:1,41413,49.305555556,823,48.845686513,100.0,2020,,,0.0,0.0,12.5,0.0,,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.91,Very High Concern,823,1
Terry,9.941089838,4.0,31.458910000000003,41.0,32.6,,487,13.683618994,1460,11.4,22.639019793,48.8321,2048:1,41268,77.688057799,12287,47.774070155,24.669986562,2020,,,0.0,122.0,152.0,7.5,165,0.1143,0.1758,0.0766,0.99,Very High Vulnerability,0.99,Very High Concern,2048,1
Throckmorton,,1.0,65.48787999999999,18.0,24.3,,74,21.958456973,260,16.8,,66.00659999999999,1515:1,42701,62.0,1515,53.267326733,100.0,2020,,,0.0,12.5,17.5,0.0,18,0.1278,0.1901,0.086,0.27,Low Vulnerability,0.85,Very High Concern,1515,1
Titus,6.7123678949,18.0,54.704600000000006,41.0,29.7,,1392,14.288647095,4990,15.3,31.023090181,96.87282,1032:1,45604,68.670796959,33033,51.000514637,50.556689553,2020,,,0.0,376.0,479.0,15.0,426,0.1283,0.1937,0.0866,0.89,Very High Vulnerability,0.92,Very High Concern,1032,1
Tom Green,8.1738183798,78.0,66.09105,48.0,23.7,4.9827867367,3289,11.286116258,15270,13.1,43.541154689,94.76347,1055:1,51393,52.343710325,118189,50.279636853,15.64087676,2020,,,0.0,1182.0,1164.0,12.5,1481,0.1078,0.1675,0.0704,0.66,High Vulnerability,0.89,Very High Concern,1055,1
Travis,7.6838142128,1043.0,85.025,49.0,15.2,3.9928704982,25454,9.0035088712,171740,14.6,44.997651997,92.89341,1077:1,76255,48.171145926,1248743,49.447884793,5.463522171,2020,,,0.0,9168.0,8513.0,402.0,15161,0.0916,0.1391,0.0588,0.38,Low Vulnerability,0.69,High Concern,1077,1
Trinity,7.3422957601,2.0,13.636050000000001,37.0,30.3,,336,11.129513084,2800,19.3,46.539367438,61.058339999999994,1638:1,40486,68.199398367,14740,51.797829037,77.236887213,2020,,,0.0,66.0,101.5,5.0,126,0.1365,0.206,0.093,0.8,Very High Vulnerability,0.97,Very High Concern,1638,1
Tyler,8.8315217391,5.0,23.21371,31.0,26.4,,397,9.2627158189,4150,19.3,39.321490009,36.87316,2712:1,44041,63.814904493,21696,46.105272861,78.131030047,2020,,,0.0,136.0,147.0,10.0,201,0.1428,0.2169,0.0983,0.88,Very High Vulnerability,0.98,Very High Concern,2712,1
Upshur,7.4209245742,12.0,29.06906,43.0,21.1,9.9099099099,1064,10.385553929,7270,17.9,31.22438478,12.11827,8252:1,48554,59.480025365,41260,50.588948134,79.299905874,2020,,,0.0,260.0,327.0,0.0,489,0.1276,0.1901,0.0861,0.59,Moderate Vulnerability,0.88,Very High Concern,8252,1
Upton,9.4488188976,2.0,54.60005,20.0,20.2,,193,17.232142857,430,12.1,30.057789124,108.96213999999999,918:1,53867,57.341040462,3671,48.760555707,100.0,2020,,,0.0,34.5,40.0,7.5,40,0.1235,0.1873,0.0822,0.65,High Vulnerability,0.96,Very High Concern,918,1
Uvalde,7.1071428571,12.0,44.22822,32.0,35.0,,882,11.54752553,2430,9.0,,59.5992,1678:1,39725,65.834238147,26846,50.797139239,31.384207536,2020,,,0.15625,277.5,258.5,5.0,386,0.107,0.1724,0.0705,0.95,Very High Vulnerability,0.98,Very High Concern,1678,1
Val Verde,6.4690026954,14.0,28.45239,25.0,28.9,3.2976092333,1588,10.958525982,4580,9.3,59.153051434,65.03008,1538:1,44276,72.558181328,49208,48.878231182,10.157736451,2020,,,3.267857142857143,397.0,470.5,12.5,732,0.107,0.1724,0.0705,0.97,Very High Vulnerability,0.99,Very High Concern,1538,1
Van Zandt,6.7780654272,10.0,18.121850000000002,40.0,20.8,6.679389313,1884,14.12505623,8690,16.2,40.080845273,26.77663,3735:1,51152,53.309147956,56019,51.154072725,75.018543525,2020,,,0.21052631578947367,415.0,484.5,7.5,575,0.1285,0.1874,0.0874,0.56,Moderate Vulnerability,0.89,Very High Concern,3735,1
Victoria,8.0605655756,72.0,78.18948,48.0,21.4,5.5011552426,2923,12.01446833,11820,12.9,32.859626713,94.52926000000001,1058:1,51646,67.742143641,92035,51.003422611,26.626571267,2020,,,0.9836956521739131,1011.5,1135.0,38.75,1166,0.1065,0.1663,0.0699,0.78,High Vulnerability,0.9,Very High Concern,1058,1
Walker,7.9144871503,20.0,27.683580000000003,42.0,28.3,,1234,10.977671026,15950,22.5,18.26365771,49.668870000000005,2013:1,43681,49.175824176,72480,41.799116998,45.582882657,2020,,,0.6176470588235294,369.0,302.5,15.0,640,0.1365,0.206,0.093,0.7,High Vulnerability,0.9,Very High Concern,2013,1
Waller,7.7939835916,6.0,11.69431,43.0,19.9,5.730002292,1762,13.705662726,8770,18.1,38.100103891,1.88232,53126:1,59807,71.279861204,53126,50.152467718,61.641013772,2020,,,1.826086956521739,491.0,435.0,17.5,689,0.1114,0.1704,0.0738,0.83,Very High Vulnerability,0.9,Very High Concern,53126,1
Ward,9.9845201238,3.0,26.15063,19.0,17.7,,466,13.641686183,1160,10.1,20.527967891,76.79181,1302:1,53621,51.606425703,11720,49.675767918,27.88515669,2020,,,0.475,119.0,132.75,7.5,183,0.1166,0.1765,0.0789,0.65,High Vulnerability,0.96,Very High Concern,1302,1
Washington,7.9422382671,21.0,59.92638,41.0,19.5,,993,12.750385208,5850,16.9,28.88573044,59.815430000000006,1672:1,54332,54.079211535,35108,50.922866583,53.490717124,2020,,,0.2631578947368421,253.5,293.0,15.0,365,0.1225,0.1864,0.0827,0.73,High Vulnerability,0.86,Very High Concern,1672,1
Webb,8.0857228767,89.0,32.3879,35.0,34.6,4.9619847939,10498,11.269994632,25250,9.4,69.444092382,50.37875,1985:1,44919,82.325494588,275910,50.866949368,2.5996388392,2020,,,26.947916666666668,3143.5,2826.0,54.75,4344,0.1039,0.1663,0.0674,0.95,Very High Vulnerability,0.99,Very High Concern,1985,1
Wharton,9.4440213252,16.0,38.12429,36.0,26.0,8.0561330561,1539,13.646036531,6250,15.1,38.523797679,67.27696,1486:1,48040,65.348309236,41619,50.743650736,49.895833333,2020,,,0.7619047619047619,793.5,753.0,15.0,543,0.1114,0.1704,0.0738,0.88,Very High Vulnerability,0.96,Very High Concern,1486,1
Wheeler,6.8311195446,2.0,37.32736,36.0,20.9,,257,18.085855032,910,16.3,54.530271399,57.79233000000001,1730:1,48018,50.900900901,5191,49.662878058,100.0,2020,,,0.14705882352941177,307.5,156.5,5.0,45,0.1241,0.1883,0.0824,0.7,High Vulnerability,0.91,Very High Concern,1730,1
Wichita,8.2245649264,95.0,71.9697,44.0,22.4,7.7178423237,2833,9.252727154,24410,18.5,42.662719612,112.82409000000001,886:1,47477,61.217079783,132064,48.254634117,10.666920152,2020,,,1.06,1181.5,1244.0,25.0,1534,0.1296,0.2018,0.0855,0.82,Very High Vulnerability,0.83,Very High Concern,886,1
Wilbarger,8.5237258348,6.0,47.00721,49.0,23.6,,374,12.790697674,2140,16.5,24.839368965,54.60218,1831:1,44735,60.43814433,12820,50.483619345,21.891392686,2020,,,0.2647058823529412,116.5,160.5,10.0,134,0.1293,0.1898,0.087,0.91,Very High Vulnerability,0.93,Very High Concern,1831,1
Willacy,8.6486486486,8.0,37.06449,53.0,44.5,,461,8.884178069,3070,14.1,,60.422959999999996,1655:1,33171,82.95059151,21515,44.722286777,34.57576579,2020,,,0.18421052631578946,168.0,237.5,59.0,226,0.0992,0.1603,0.0642,0.99,Very High Vulnerability,0.98,Very High Concern,1655,1
Williamson,7.3943110355,376.0,68.67015,52.0,7.9,4.4526161889,10395,6.8602993585,63750,12.5,34.644574855,67.75845,1476:1,87817,29.369333598,566719,50.755665506,11.98994982,2020,,,22.264705882352942,4511.5,4164.0,83.0,6863,0.0946,0.1402,0.061,0.2,Low Vulnerability,0.58,Moderate Concern,1476,1
Wilson,7.1641791045,24.0,48.677589999999995,37.0,14.6,,1446,11.342955758,4530,9.6,34.935734138,43.80376,2283:1,71207,40.26446281,50224,49.874561962,85.861410131,2020,,,1.1458333333333333,388.0,422.5,10.0,512,0.1134,0.1709,0.0762,0.44,Moderate Vulnerability,0.78,High Concern,2283,1
Winkler,7.4324324324,2.0,26.40613,17.0,20.1,,288,12.462137603,820,10.5,32.160107343,38.860099999999996,2573:1,56781,60.259179266,7720,48.691709845,18.129395218,2020,,,0.5083333333333333,109.25,86.25,7.5,98,0.1166,0.1765,0.0789,0.65,High Vulnerability,0.99,Very High Concern,2573,1
Wise,6.3923585599,27.0,40.79721,48.0,14.1,6.7877453678,2900,16.815493448,9150,14.5,59.833848709,70.27304,1423:1,66387,46.325243976,68305,49.990483859,72.107497421,2020,,,0.8653846153846154,579.5,624.5,22.5,771,0.1293,0.1898,0.087,0.58,Moderate Vulnerability,0.81,Very High Concern,1423,1
Wood,6.2521830248,21.0,47.38909,40.0,24.9,,1194,13.405186932,7220,16.7,61.570877077,68.69197000000001,1456:1,48384,58.102893891,45129,50.395532806,74.199313697,2020,,,0.18421052631578946,240.5,274.0,20.0,362,0.1285,0.1874,0.0874,0.63,High Vulnerability,0.87,Very High Concern,1456,1
Yoakum,6.3506261181,3.0,35.01401,17.0,16.3,,498,16.739495798,610,7.2,,46.56035,2148:1,61560,56.434253627,8591,48.958212082,37.327071963,2020,,,0.038461538461538464,85.5,64.5,10.0,143,0.1143,0.1758,0.0766,0.49,Moderate Vulnerability,0.93,Very High Concern,2148,1
Young,4.7433398311,12.0,66.74454,38.0,20.4,,719,15.977777778,2820,15.5,49.227356402,55.417010000000005,1805:1,49301,56.629417095,18045,50.473815461,33.568733154,2020,,,0.6111111111111112,180.0,182.0,7.5,196,0.1293,0.1898,0.087,0.55,Moderate Vulnerability,0.84,Very High Concern,1805,1
Zapata,8.5869565217,1.0,6.982270000000001,32.0,49.1,,595,12.329050974,1620,11.2,,21.141650000000002,4730:1,33160,83.300198807,14190,50.084566596,23.534027679,2020,,,0.2,151.0,131.0,12.5,207,0.1146,0.1867,0.0742,0.99,Very High Vulnerability,1.0,Very High Concern,4730,1
Zavala,8.8482074752,2.0,16.7392,26.0,44.5,,277,7.7940348903,1730,14.3,,75.1064,1331:1,30076,79.671618452,11983,49.420011683,38.032028775,2020,,,0.0,66.5,40.5,2.5,145,0.107,0.1724,0.0705,1.0,Very High Vulnerability,1.0,Very High Concern,1331,1
Anderson,,19.0,32.72646,44.0,23.8,,1293,11.28370713,8800,15.2,42.574682123,60.621809999999996,1650:1,48461,62.569370646,57735,38.557201005,67.063532793,2021,67.943874798,19.017926734,0.0,384.0,449.0,12.5,561,0.1398,0.2105,0.0948,0.79,High Vulnerability,0.95,Very High Concern,1650,1
Andrews,,9.0,49.64695,24.0,12.7,,784,13.452299245,1800,10.1,,58.80781,1700:1,74918,40.912248206,18705,48.847901631,16.502096578,2021,86.183384174,31.02379043,0.0,255.0,375.0,23.5,273,0.1166,0.1765,0.0789,0.47,Moderate Vulnerability,0.88,Very High Concern,1700,1
Angelina,,51.0,58.558769999999996,49.0,22.6,6.5789473684,2670,11.637029289,15640,17.9,38.343168513,88.79663000000001,1126:1,51750,67.965116279,86715,51.158392435,43.082366228,2021,82.274850975,25.436199043,0.0,930.0,1066.0,20.0,1114,0.125,0.1935,0.0836,0.98,Very High Vulnerability,0.89,Very High Concern,1126,1
Aransas,,9.0,37.82784,49.0,32.1,,668,15.455807497,4560,18.4,61.813483728,55.29562,1808:1,53085,67.161541181,23510,50.518928116,27.260557907,2021,81.755341433,17.732879626,0.0,144.0,206.0,15.0,223,0.1183,0.18,0.0772,0.8,Very High Vulnerability,0.85,Very High Concern,1808,1
Archer,,,,47.0,12.8,,233,11.626746507,1160,13.2,,,,63731,33.231083845,8553,51.058108266,88.988292467,2021,75.405561993,21.547994856,0.0,65.5,117.5,0.0,80,0.1293,0.1898,0.087,0.09,Very Low Vulnerability,0.8,Very High Concern,,
Armstrong,,0.0,0.0,27.0,16.7,,60,12.987012987,230,12.1,,52.994170000000004,1887:1,64424,40.668523677,1887,51.086380498,100.0,2021,81.556195965,22.575516693,0.0,27.5,25.0,0.0,22,0.1241,0.1883,0.0824,0.16,Very Low Vulnerability,0.56,Moderate Concern,1887,1
Atascosa,,11.0,21.86444,36.0,19.0,4.4369321783,1607,11.280359399,6170,12.6,,46.91807,2131:1,57309,66.194084576,51153,50.200379254,60.711184342,2021,80.219992281,27.189021172,0.0,572.0,664.0,20.0,601,0.1146,0.174,0.0756,0.85,Very High Vulnerability,0.95,Very High Concern,2131,1
Austin,,5.0,16.67278,41.0,17.0,,894,12.0209762,3890,13.1,19.282058084,56.606289999999994,1767:1,68311,55.517490083,30032,50.283031433,66.344089805,2021,74.250066366,23.841236015,0.0,271.0,304.0,12.5,365,0.1114,0.1704,0.0738,0.49,Moderate Vulnerability,0.82,Very High Concern,1767,1
Bailey,,2.0,28.461650000000002,42.0,25.8,,397,17.581930912,920,13.0,,85.71428999999999,1167:1,46174,85.815102329,7000,49.771428571,28.750872296,2021,70.545277507,30.771428571,0.0,99.0,148.5,21.0,106,0.1143,0.1758,0.0766,0.8,Very High Vulnerability,0.96,Very High Concern,1167,1
Bandera,,5.0,21.90676,42.0,23.6,,579,14.884318766,3390,15.6,,47.59432,2101:1,59604,54.409448819,23112,50.36344756,100.0,2021,81.819264198,16.471962617,0.0,99.5,134.5,2.5,187,0.1146,0.174,0.0756,0.51,Moderate Vulnerability,0.77,High Concern,2101,1
Bastrop,,24.0,27.59382,43.0,23.8,4.5567522784,3089,13.420515271,10220,12.4,34.598673152,39.44862,2535:1,62627,70.670550244,88723,49.154108856,63.85244907,2021,80.403582183,25.367717503,0.0,1131.0,1324.0,47.0,1283,0.124,0.188,0.0827,0.75,High Vulnerability,0.85,Very High Concern,2535,1
Baylor,,5.0,139.58682000000002,21.0,24.5,,104,12.220916569,580,16.1,,56.996300000000005,1755:1,41539,58.075601375,3509,51.439156455,100.0,2021,74.705882353,22.855514392,0.0,31.0,37.5,2.5,32,0.1293,0.1898,0.087,0.16,Very Low Vulnerability,0.78,High Concern,1755,1
