county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_mmr_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,pop_tertiles,rural_pop_quartiles,%_pop_youth_imputed,%_pop_youth_imputed_yes_no,imr_imputed,imr_imputed_yes_no,live_births_imputed,live_births_imputed_yes_no,pop_0_24mos,mmr_dose_rate_0_24_months,mmr_doses_<18yrs,#_pop_youth_imputed,mmr_dose_rate_<18yrs,seg_missing_bool,segregation_imputed,segregation_imputed_yes_no
Bastrop,7.5768107883,23.0,27.13512,41.0,19.2,5.1450621695,2863,12.629025143,10040,12.5,31.748427654,34.492270000000005,2899:1,61883,69.318550217,86976,49.071008094,63.85244907,2020,81.63189081249999,,957.0,1009.0,27.5,1143.0,0.9550561797752808,0.9526484751203852,0.9678972712680578,0.956661316211878,0.9582664526484752,0.9462279293739968,0.124,0.188,0.0827,0.75,High Vulnerability,0.85,Very High Concern,2899.0,1.0,large,rural,23.469542212999997,1.0,5.1450621695,0.0,1143.0,0.0,1137.1191939402615,84.16004277298971,1993.5,2041286.9035178877,0.09765898152603962,False,31.748427654,0.0
Baylor,8.6956521739,5.0,139.6258,18.0,28.6,,105,12.758201701,590,16.2,,55.83473000000001,1791:1,41180,56.994818653,3582,51.312116136,100.0,2020,76.64967159,,32.0,41.5,0.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1293,0.1898,0.087,0.16,Very Low Vulnerability,0.78,High Concern,1791.0,1.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,45.0,0.0,44.73151318122525,71.53793315767165,73.5,84067.90020696599,0.08742932774465761,True,41.965456189,1.0
Bee,10.115384615,7.0,21.49679,29.0,32.0,7.6716532413,661,9.3059270731,4540,13.9,21.546270543,55.23675,1810:1,41806,70.382165605,32587,39.181268604,42.97730768,2020,65.659182571,,260.0,318.0,17.5,347.0,0.9794871794871794,0.9846153846153848,0.9923076923076924,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.1183,0.18,0.0772,0.97,Very High Vulnerability,0.99,Very High Concern,1810.0,1.0,medium,urban,23.469542212999997,1.0,7.6716532413,0.0,347.0,0.0,344.3379363252689,75.50721909258307,595.5,764801.972095031,0.07786329294742009,False,21.546270543,0.0
Bell,8.7590060964,284.0,81.64837999999999,39.0,19.1,6.8502693665,6377,6.3900356728,62960,18.7,41.201303726,168.4278,594:1,54292,55.844724212,355642,50.3123928,15.186229794,2020,86.5027035735,,2946.0,2858.0,51.0,6102.0,0.9707482993197278,0.972278911564626,0.9746598639455782,0.9717687074829932,0.9715986394557824,0.964625850340136,0.1244,0.1993,0.0815,0.81,Very High Vulnerability,0.83,Very High Concern,594.0,1.0,large,very urban,23.469542212999997,1.0,6.8502693665,0.0,6102.0,0.0,6060.199656325617,48.61225977802521,5855.0,8346754.931715745,0.07014702178151117,False,41.201303726,0.0
Bexar,8.9450781336,1450.0,74.0333,38.0,23.7,6.3072376596,41735,7.9588622078,216220,11.4,44.536756467,97.63103,1024:1,54210,61.712693731,1986049,50.629818298,4.5390847652,2020,82.75538035299999,,16438.0,17148.0,561.0,25247.0,0.9661883621373076,0.9671793245600128,0.9771285872839702,0.970271127318852,0.9695179958775964,0.9653163152053276,0.1005,0.1587,0.0641,0.83,Very High Vulnerability,0.87,Very High Concern,1024.0,1.0,large,very urban,23.469542212999997,1.0,6.3072376596,0.0,25247.0,0.0,25087.76117080808,65.52198854287215,34147.0,46611660.84258643,0.07325849236593138,False,44.536756467,0.0
Blanco,6.3694267516,5.0,43.00705,44.0,17.2,,422,18.158347676,1450,13.1,,25.63664,3901:1,64832,39.408284024,11702,49.820543497,100.0,2020,86.54393279,,61.0,56.0,5.0,82.0,0.9157894736842104,0.9157894736842104,0.9263157894736842,0.936842105263158,0.9157894736842104,0.9263157894736842,0.1008,0.1475,0.0669,0.28,Low Vulnerability,0.68,High Concern,3901.0,1.0,medium,very rural,23.469542212999997,1.0,5.96637375055,1.0,82.0,0.0,81.5107573524549,74.83674791075025,122.0,274640.58297652594,0.04442169422951872,True,41.965456189,1.0
Borden,,0.0,0.0,18.0,14.5,,23,14.743589744,80,12.9,,0.0,648:0,66101,24.892703863,648,47.99382716,100.0,2020,80.67501629750001,,10.0,12.5,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.06,Very Low Vulnerability,0.72,High Concern,648.0,0.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,213.5,1.0,212.22617920425756,4.711954028242424,22.5,15208.263354023999,0.1479458862345822,True,41.965456189,1.0
Bosque,7.037896365,10.0,54.56728,30.0,24.0,,570,13.90583069,2790,15.5,47.765226152,42.80135,2336:1,48460,62.348942598,18691,50.521641432,81.215681968,2020,74.7544475325,,122.0,132.0,2.5,181.0,0.918918918918919,0.9297297297297298,0.9567567567567568,0.9297297297297298,0.918918918918919,0.9027027027027028,0.1248,0.188,0.085,0.62,High Vulnerability,0.89,Very High Concern,2336.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,181.0,0.0,179.92008635115045,67.80788208487868,256.5,438669.2135031829,0.05847230489498185,False,47.765226152,0.0
Bowie,9.8661613171,63.0,67.01272,43.0,25.5,8.4053510122,1868,8.1426267382,20180,21.5,45.089203319,148.42458,674:1,47339,60.490387295,94324,49.670285399,35.424836601,2020,72.75890070049999,,584.0,680.0,15.0,1088.0,0.9536826119969628,0.9620349278663628,0.9741837509491268,0.9635535307517084,0.9627942293090356,0.9567198177676538,0.1356,0.2056,0.0926,0.85,Very High Vulnerability,0.86,Very High Concern,674.0,1.0,large,urban,23.469542212999997,1.0,8.4053510122,0.0,1088.0,0.0,1078.8549780987264,54.131464548570484,1279.0,2213741.0996990115,0.05777550049433954,False,45.089203319,0.0
Brazoria,8.3679990354,234.0,64.55938,41.0,13.1,4.5152091255,9325,9.1593980827,48610,14.0,39.686637624,60.23771,1660:1,74225,44.17376277,370200,49.486493787,22.52862699,2020,88.57682379650001,,3829.0,3483.0,70.5,4495.0,0.9748509687034276,0.973919523099851,0.9841654247391952,0.9774590163934426,0.9778315946348732,0.9735469448584204,0.1074,0.1608,0.071,0.51,Moderate Vulnerability,0.69,High Concern,1660.0,1.0,large,very urban,23.469542212999997,1.0,4.5152091255,0.0,4495.0,0.0,4474.704134980878,85.569903271747,7382.5,8688424.5272526,0.0849693747910641,False,39.686637624,0.0
Brazos,7.6380852183,190.0,85.2668,53.0,20.2,4.5098750713,5110,10.659824353,43590,20.3,33.582402407,59.53483,1680:1,50113,56.573967418,226758,49.450074529,12.063576784,2020,82.4265735475,,1799.0,2045.0,39.0,2636.0,0.9714993804213136,0.9710863279636514,0.9805865344898802,0.969847170590665,0.9694341181330028,0.966129698471706,0.1055,0.1682,0.0691,0.65,High Vulnerability,0.81,Very High Concern,1680.0,1.0,large,very urban,23.469542212999997,1.0,4.5098750713,0.0,2636.0,0.0,2624.111969312053,68.55652582811214,3883.0,5321906.453135453,0.07296257523865894,False,33.582402407,0.0
Brewster,6.338028169,6.0,64.26047,21.0,21.2,,224,11.826821542,1130,12.3,,75.53685,1324:1,45670,51.791277259,9267,49.455055574,34.867850953,2020,75.8404454285,,33.5,39.5,5.0,75.0,0.9021739130434784,0.9130434782608696,0.9347826086956522,0.9130434782608696,0.9021739130434784,0.9021739130434784,0.1166,0.1765,0.0789,0.66,High Vulnerability,0.84,Very High Concern,1324.0,1.0,small,urban,23.469542212999997,1.0,5.96637375055,1.0,75.0,0.0,74.55252196870875,44.934764264662505,78.0,217492.24768787096,0.03586334723614606,True,41.965456189,1.0
Briscoe,,0.0,0.0,29.0,24.3,,79,25.079365079,210,13.4,,65.96306,1516:1,44409,54.411764706,1516,50.593667546,100.0,2020,70.49912988450001,,20.0,21.0,2.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1241,0.1883,0.0824,0.46,Moderate Vulnerability,0.95,Very High Concern,1516.0,1.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,12.0,0.0,11.9284035149934,167.6670308382929,43.5,35579.825994907995,0.12226029437644104,True,41.965456189,1.0
Brooks,8.4158415842,,,39.0,48.6,,130,6.2560153994,1070,14.7,,28.11358,3557:1,30116,79.924480806,7114,49.465842002,31.759656652,2020,62.454783686,,74.0,89.0,2.5,95.0,1.0,0.9913793103448276,1.0,1.0,1.0,0.9913793103448276,0.0992,0.1603,0.0642,1.0,Very High Vulnerability,0.99,Very High Concern,3557.0,1.0,small,urban,23.469542212999997,1.0,5.96637375055,1.0,95.0,0.0,94.43319449369775,78.36227546547583,165.5,166962.32330328197,0.09912415970600402,True,41.965456189,1.0
Brown,9.1098748261,19.0,49.93036,41.0,21.2,8.7138375741,917,10.482395976,5980,15.8,47.635153175,81.74243,1223:1,47097,62.892263196,37924,50.522096825,40.40046187,2020,77.1913551305,,311.0,359.0,15.0,384.0,0.9659090909090908,0.9590909090909092,0.9727272727272728,0.9704545454545456,0.9659090909090908,0.968181818181818,0.1278,0.1901,0.086,0.63,High Vulnerability,0.72,High Concern,1223.0,1.0,large,urban,23.469542212999997,1.0,8.7138375741,0.0,384.0,0.0,380.6538863715456,81.70151708274997,685.0,890058.9188858119,0.07696119722697599,False,47.635153175,0.0
Burleson,8.2162921348,7.0,38.86514,41.0,23.7,,500,11.930326891,2840,16.1,17.476375419,43.50427,2299:1,53626,61.390374332,18389,50.812986024,76.65677547,2020,74.7106892335,,181.0,160.5,5.0,205.0,0.9955357142857144,0.9866071428571428,0.9955357142857144,0.9955357142857144,0.9955357142857144,0.9866071428571428,0.1225,0.1864,0.0827,0.61,High Vulnerability,0.83,Very High Concern,2299.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,205.0,0.0,203.77689338113726,88.82263194652981,346.5,431581.41175485693,0.08028612691892668,False,17.476375419,0.0
Burnet,6.6547831254,22.0,47.00453,45.0,18.6,,1477,13.95107207,6100,13.5,56.658653402,58.89529,1698:1,56696,60.123772366,47542,50.999116571,55.67251462,2020,81.27549574700001,,292.0,354.0,2.5,499.0,0.944015444015444,0.947876447876448,0.9613899613899614,0.9498069498069498,0.947876447876448,0.947876447876448,0.1264,0.1929,0.0847,0.53,Moderate Vulnerability,0.7,High Concern,1698.0,1.0,large,rural,23.469542212999997,1.0,5.96637375055,1.0,499.0,0.0,496.02277949847553,58.868264134005855,648.5,1115788.9758904458,0.05812030894842551,False,56.658653402,0.0
Caldwell,8.6456908345,12.0,28.34333,45.0,20.7,,1156,11.133583743,5070,12.5,45.185992619,50.87058,1966:1,52588,73.376539209,43247,49.541008625,42.292334367,2020,73.4901027,,420.0,447.0,20.0,629.0,0.9668508287292816,0.9521178637200736,0.9779005524861878,0.9797421731123388,0.9668508287292816,0.9650092081031308,0.124,0.188,0.0827,0.87,Very High Vulnerability,0.97,Very High Concern,1966.0,1.0,large,urban,23.469542212999997,1.0,5.96637375055,1.0,629.0,0.0,625.247150910904,67.173436838235,887.0,1014987.2920856109,0.08739025669743897,False,45.185992619,0.0
Calhoun,7.2342519685,11.0,50.58867,29.0,24.0,,651,11.57744976,2720,12.5,23.870296008,60.29405,1659:1,52085,72.562068083,21561,48.620193869,44.731303494,2020,79.13131449650001,,230.0,229.0,12.5,261.0,0.980456026058632,0.973941368078176,0.990228013029316,0.993485342019544,0.98371335504886,0.980456026058632,0.1065,0.1663,0.0699,0.86,Very High Vulnerability,0.88,Very High Concern,1659.0,1.0,medium,urban,23.469542212999997,1.0,5.96637375055,1.0,261.0,0.0,259.44277645110645,88.65153354668361,471.5,506026.79965449293,0.09317688318522512,False,23.870296008,0.0
Callahan,11.263467189,1.0,7.17051,40.0,20.2,,360,10.895883777,2240,16.4,,57.16736,1749:1,50330,52.479174931,13994,50.478776619,72.179562906,2020,73.8232411855,,117.0,110.5,2.5,123.0,0.9529411764705882,0.9529411764705882,0.9647058823529412,0.9588235294117649,0.9588235294117649,0.9529411764705882,0.1278,0.1901,0.086,0.3,Low Vulnerability,0.8,High Concern,1749.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,123.0,0.0,122.26613602868235,95.69289077112327,230.0,328432.77372872195,0.07002955198069691,True,41.965456189,1.0
Cameron,8.1357393607,207.0,48.85244,42.0,40.2,5.0892108729,16938,12.753077589,47770,11.4,67.081450135,66.52387,1503:1,38106,87.033089872,423908,51.321277258,8.4208064596,2020,60.254332946999995,,4552.0,5109.0,337.0,6019.0,0.9917241379310344,0.9917241379310344,0.995,0.9927586206896551,0.9925862068965516,0.9886206896551724,0.105,0.1701,0.0683,0.98,Very High Vulnerability,0.98,Very High Concern,1503.0,1.0,large,very urban,23.469542212999997,1.0,5.0892108729,0.0,6019.0,0.0,5988.368039756015,76.01403203309901,9998.0,9948926.700428402,0.1004932521974404,False,67.081450135,0.0
Camp,7.4581430746,11.0,85.56981999999999,35.0,30.5,,403,11.484753491,2320,18.3,21.808815883,15.34566,6517:1,43714,74.57337884,13033,51.43865572,61.478912991,2020,70.4509258315,,111.5,153.5,5.0,162.0,1.0,0.9893617021276596,1.0,1.0,1.0,0.9946808510638298,0.1285,0.1874,0.0874,0.9,Very High Vulnerability,0.98,Very High Concern,6517.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,162.0,0.0,161.0334474524109,69.24027384618392,270.0,305878.54366202897,0.08827033003607083,False,21.808815883,0.0
Carson,5.6265984655,,,44.0,12.2,,203,12.979539642,770,12.7,,116.56953,858:1,64799,32.747603834,6005,49.87510408,95.195729537,2020,77.4351827415,,33.5,60.5,0.0,38.0,0.9245283018867924,0.9433962264150944,0.9433962264150944,0.9339622641509434,0.9433962264150944,0.9339622641509434,0.1241,0.1883,0.0824,0.03,Very Low Vulnerability,0.6,High Concern,858.0,1.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,38.0,0.0,37.7732777974791,88.6870347328865,94.0,140934.600989065,0.06669760253359883,True,41.965456189,1.0
Cass,7.810552555,8.0,26.656,35.0,32.0,,624,8.8888888889,6340,21.0,30.701785208,49.80245,2008:1,44154,62.828467153,30119,51.588698164,74.011948529,2020,72.372566336,,173.5,210.5,12.5,317.0,0.957816377171216,0.9602977667493796,0.9627791563275434,0.9602977667493796,0.9602977667493796,0.957816377171216,0.1356,0.2056,0.0926,0.78,High Vulnerability,0.98,Very High Concern,2008.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,317.0,0.0,315.10865952107565,55.060371956676,396.5,706879.141913347,0.05609162535575355,False,30.701785208,0.0
Castro,6.9135802469,1.0,12.75022,35.0,24.2,,412,17.614365113,750,9.5,,39.13894,2555:1,45689,74.154025671,7665,48.532289628,45.757876457,2020,71.0629712075,,92.5,99.0,5.0,112.0,0.9626865671641792,0.9477611940298508,0.9776119402985076,0.9552238805970148,0.9626865671641792,0.9477611940298508,0.1241,0.1883,0.0824,0.78,High Vulnerability,0.99,Very High Concern,2555.0,1.0,small,urban,23.469542212999997,1.0,5.96637375055,1.0,112.0,0.0,111.3317661399384,83.08500188861836,196.5,179894.04106264497,0.1092309666508477,True,41.965456189,1.0
Chambers,8.2658475286,4.0,9.65228,28.0,10.9,,1286,10.478285668,5950,15.1,24.700513178,54.176280000000006,1846:1,89513,36.772457104,42454,49.3451736,45.720310007,2020,85.094121194,,628.0,567.0,21.0,552.0,0.967741935483871,0.967741935483871,0.9771505376344086,0.9704301075268816,0.9690860215053764,0.9663978494623656,0.1377,0.2028,0.0929,0.41,Moderate Vulnerability,0.79,High Concern,1846.0,1.0,large,urban,23.469542212999997,1.0,5.96637375055,1.0,552.0,0.0,548.7065616896964,114.45097322439995,1216.0,996375.9451107018,0.1220422879503476,False,24.700513178,0.0
Cherokee,7.2273073989,21.0,40.19908,43.0,24.6,8.0521472393,1528,11.150029189,9110,17.7,34.805617504,43.73289,2287:1,43483,63.046594982,52592,48.999847886,63.048480677,2020,75.8659357725,,456.0,527.0,12.5,739.0,0.9887278582930756,0.9838969404186796,0.9951690821256038,0.9919484702093396,0.9903381642512076,0.9822866344605476,0.1282,0.1918,0.0871,0.92,Very High Vulnerability,0.94,Very High Concern,2287.0,1.0,large,rural,23.469542212999997,1.0,8.0521472393,0.0,739.0,0.0,733.0494631901573,62.20589781425308,995.5,1234310.1640660958,0.08065233755514081,False,34.805617504,0.0
Childress,9.8619329389,10.0,141.50276,23.0,25.4,,174,11.584553928,1280,18.1,16.197996918,109.72432,911:1,42291,54.398563734,7291,39.185296941,33.148700469,2020,75.422178165,,45.5,45.5,0.0,58.0,0.9523809523809524,0.9523809523809524,0.9682539682539684,0.9682539682539684,0.9682539682539684,0.9682539682539684,0.1241,0.1883,0.0824,0.75,High Vulnerability,0.92,Very High Concern,911.0,1.0,small,urban,23.469542212999997,1.0,5.96637375055,1.0,58.0,0.0,57.6539503224681,78.91913692905857,91.0,171116.43227498297,0.05318016440043795,False,16.197996918,0.0
Clay,5.0243111831,4.0,38.38403,45.0,16.9,,296,13.016710642,1670,16.1,,19.12777,5228:1,58356,46.344271733,10456,50.181713849,74.600074405,2020,77.226187781,,59.0,83.0,2.5,92.0,0.9765625,0.984375,0.984375,0.9765625,0.9765625,0.9765625,0.1293,0.1898,0.087,0.32,Low Vulnerability,0.68,High Concern,5228.0,1.0,medium,rural,23.469542212999997,1.0,5.96637375055,1.0,92.0,0.0,91.4510936149494,64.51535751821271,144.5,245397.53337912797,0.05888404745159117,True,41.965456189,1.0
Cochran,8.4175084175,1.0,35.07541,21.0,31.8,,146,18.741976893,380,13.1,,35.260929999999995,2836:1,42873,77.793493635,2836,49.823695346,100.0,2020,68.932211401,,33.5,38.5,5.0,41.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.1143,0.1758,0.0766,0.86,Very High Vulnerability,0.99,Very High Concern,2836.0,1.0,small,very rural,23.469542212999997,1.0,5.96637375055,1.0,41.0,0.0,40.75537867622745,82.19773950852897,77.0,66559.621716068,0.11568575363674523,True,41.965456189,1.0
